eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,51,6.952755e-07,0.0,6.148468,-0.0004919719,0.025883084,-0.0006784200668334961,1,128,9.985707888000036,512
nan,nan,100,6.62624e-06,0.0,6.1484594,-0.0015960019,0.4212401,-1.9073486328125e-06,2,256,15.093873957000028,1024
nan,nan,75,5.134056e-06,0.0,6.1484385,-0.0014034825,0.0005111589,0.009230077266693115,3,384,21.83288879700001,1536
nan,nan,68,2.3217815e-05,0.0,6.1483536,-0.001903906,0.02595472,-6.771087646484375e-05,4,512,29.312509027000033,2048
nan,nan,62,4.4610315e-05,0.0,6.1481624,-0.0022723447,0.18579303,-4.076957702636719e-05,5,640,37.556581913,2560
nan,nan,109,0.00014002922,0.0,6.147622,-0.005747806,0.19513428,-0.00034499168395996094,6,768,42.23171533000004,3072
nan,nan,110,0.0003944441,0.0,6.1460633,-0.008442465,0.46157023,0.00016021728515625,7,896,46.87284001900002,3584
nan,nan,101,0.0005690388,0.0068359375,6.142174,-0.009509584,4.576886,-0.0007978677749633789,8,1024,51.925092328999995,4096
nan,nan,94,0.00061900704,0.0087890625,6.1369433,-0.007727403,2.3380005,0.0060239434242248535,9,1152,57.35550624800004,4608
nan,nan,89,0.00049642427,0.0053710938,6.1321974,-0.0053704064,1.9752322,-9.775161743164062e-06,10,1280,63.05424092100003,5120
nan,nan,71,0.00052139076,0.01171875,6.129453,-0.009046108,2.5048976,9.196996688842773e-05,11,1408,70.18143939500004,5632
nan,nan,70,0.000921832,0.0390625,6.1198387,-0.01026848,3.167041,-0.0025620460510253906,12,1536,77.46771322400002,6144
nan,nan,59,0.001990589,0.12451172,6.1031775,-0.018287446,6.216651,-0.0024309158325195312,13,1664,86.08600456800002,6656
nan,nan,60,0.0011790169,0.04736328,6.0880575,-0.013257356,7.483002,-0.012203216552734375,14,1792,94.51385273300002,7168
nan,nan,73,0.0022324224,0.15234375,6.0771723,-0.018044235,9.349145,-0.013524174690246582,15,1920,101.45284244100003,7680
