# {"t_start": 1702627840.2714372, "env_id": null} 
r,l,t
232970.0,2581,146.43151
251380.0,1573,224.429788
261535.0,960,273.028889
371925.0,1225,337.044597
442620.0,1320,408.181061
275860.0,819,455.079495
406640.0,848,499.452846
416775.0,1187,566.625843
391745.0,996,620.564403
412905.0,1142,684.163441
412090.0,1141,747.661879
456580.0,1073,809.315097
472730.0,1096,869.577639
398380.0,1054,928.794942
421995.0,1043,990.067611
400375.0,989,1043.91994
401505.0,1007,1101.922326
561315.0,1300,1173.759167
405920.0,1029,1231.056753
394935.0,950,1285.255958
499915.0,1057,1342.945951
450380.0,882,1392.327866
351205.0,1050,1449.203682
548120.0,1296,1521.040844
452680.0,1128,1583.494312
412615.0,1027,1640.032912
336705.0,956,1696.070024
359820.0,930,1747.605911
403930.0,990,1803.730596
511255.0,1022,1861.5072
552020.0,1236,1930.012736
408220.0,1024,1986.832969
270520.0,731,2028.840803
380360.0,994,2084.140085
471435.0,1023,2140.720074
259405.0,716,2178.718811
348295.0,1029,2236.512712
397655.0,1061,2296.500903
367285.0,991,2349.366026
257340.0,766,2391.453487
401565.0,1016,2448.122228
345870.0,790,2492.275994
406050.0,942,2547.848923
268695.0,733,2590.22963
397180.0,942,2641.924471
396640.0,929,2694.12006
459430.0,1045,2752.728856
338755.0,928,2807.285086
526490.0,979,2861.592412
267010.0,643,2897.264148
296310.0,811,2946.275024
388700.0,916,2997.990172
268140.0,706,3037.303472
351335.0,1023,3095.107043
269535.0,756,3138.403741
415780.0,965,3194.48795
410425.0,986,3248.737259
270010.0,713,3289.7276
373755.0,1007,3347.260059
508600.0,1088,3406.694078
486965.0,1053,3469.044443
421895.0,995,3522.813038
384925.0,896,3573.170202
453525.0,924,3627.307794
385775.0,892,3675.500997
347545.0,970,3731.388028
389175.0,945,3784.535827
274735.0,754,3827.682842
459365.0,1030,3885.892449
497925.0,1149,3950.511842
282385.0,740,3993.54552
361210.0,1048,4052.826915
472240.0,1015,4111.016612
504360.0,1273,4182.536545
368335.0,780,4225.801476
396600.0,959,4281.733545
415920.0,1047,4340.202491
383915.0,939,4391.860078
404690.0,961,4447.54932
420335.0,1000,4504.66794
502925.0,934,4556.667797
411820.0,978,4613.287884
556030.0,1195,4679.41234
410945.0,1054,4738.727334
431110.0,971,4793.654235
392010.0,905,4844.753082
412305.0,1021,4902.443633
335050.0,1017,4960.706218
431615.0,992,5014.01982
559065.0,1108,5078.183428
554770.0,1139,5142.885114
412955.0,1108,5206.615953
354955.0,1119,5267.878207
406100.0,1034,5328.523389
558425.0,1287,5400.469812
505040.0,1123,5461.48237
416075.0,1053,5522.593195
556155.0,1135,5583.108943
466700.0,1099,5645.005448
391725.0,968,5699.526606
414240.0,1017,5755.569327
403965.0,1034,5812.431797
456670.0,977,5864.350712
450395.0,959,5918.969567
417360.0,1070,5977.272378
480895.0,1023,6034.542871
396890.0,984,6091.158335
409200.0,1023,6149.34727
419085.0,1077,6209.17447
424295.0,1005,6266.518952
277670.0,724,6308.262717
475215.0,998,6362.134864
415595.0,994,6419.0338
396975.0,1007,6476.336402
342815.0,948,6531.188727
515370.0,1313,6603.848904
408695.0,1046,6662.281026
381155.0,1033,6720.372938
365300.0,1001,6777.618241
394715.0,941,6829.844037
262570.0,738,6872.587979
273445.0,733,6914.598038
276480.0,744,6954.368171
359595.0,793,7002.091133
502070.0,1138,7065.905473
521580.0,1089,7125.716587
367480.0,796,7170.000459
251300.0,674,7209.158949
350975.0,1051,7267.810977
403560.0,1057,7327.377599
266900.0,747,7369.681331
394155.0,1064,7429.780406
372180.0,1065,7491.14459
401875.0,1017,7544.968822
260685.0,734,7587.488942
350695.0,780,7631.678435
551190.0,1165,7696.987602
264250.0,732,7739.545295
422700.0,936,7790.588166
352710.0,777,7834.888503
442205.0,968,7889.387874
413415.0,1112,7951.278516
462960.0,1042,8008.075356
558930.0,1116,8070.7222
350925.0,1024,8126.908063
271525.0,735,8165.385457
334940.0,1000,8221.036583
461875.0,1022,8277.072126
268125.0,759,8320.380383
273445.0,736,8362.490769
356635.0,1053,8420.832546
352335.0,952,8472.797143
468700.0,1062,8534.569526
272845.0,743,8576.853633
456450.0,1021,8634.801081
524495.0,1031,8692.349076
359970.0,1018,8750.324831
362125.0,1093,8808.984866
269280.0,772,8852.207915
393120.0,998,8908.452192
383600.0,968,8962.198367
405385.0,1031,9021.947404
331560.0,957,9072.863426
528480.0,1028,9129.676752
410785.0,1044,9187.408623
502660.0,1046,9245.213201
417335.0,996,9300.158856
460085.0,1062,9358.361226
561585.0,1068,9419.116126
278940.0,719,9458.044038
352040.0,1099,9520.892173
411935.0,974,9577.151495
427130.0,1047,9635.707789
438670.0,1178,9699.411353
419585.0,1010,9756.241296
417305.0,926,9806.782829
407075.0,995,9862.259134
353825.0,977,9917.732214
409285.0,1008,9971.235427
265680.0,741,10013.069709
357570.0,778,10055.585474
271020.0,727,10097.312572
404770.0,1036,10153.587969
505335.0,995,10209.314646
262730.0,738,10251.572587
268330.0,721,10290.415156
399690.0,993,10346.61636
399430.0,1024,10404.927161
560305.0,1183,10470.631529
341955.0,922,10521.750479
399495.0,894,10572.255701
459450.0,1076,10635.406902
401450.0,938,10687.169688
275765.0,730,10729.015076
404385.0,1012,10786.972459
363900.0,1036,10846.632205
357960.0,1005,10904.155322
571620.0,1092,10964.261236
357980.0,1044,11023.082885
370830.0,1078,11085.663695
359670.0,1009,11143.341789
369330.0,1025,11200.181192
422520.0,1005,11257.520456
468665.0,1024,11314.450707
454720.0,976,11367.64207
421090.0,995,11424.636619
521350.0,1124,11487.912166
458135.0,1192,11554.103207
391115.0,903,11605.497378
273245.0,728,11647.961863
424255.0,1013,11705.039889
270975.0,724,11744.252043
426880.0,1030,11802.214592
400695.0,1008,11859.130166
270575.0,726,11901.3418
405825.0,1005,11957.391136
444515.0,1053,12015.705534
393830.0,897,12066.20703
564450.0,1103,12129.449314
430125.0,999,12183.345439
413220.0,1013,12240.183146
374335.0,1018,12298.363569
418390.0,1000,12355.102679
260895.0,730,12397.354314
575990.0,1248,12468.979204
280035.0,723,12507.632426
417960.0,1022,12565.803912
416035.0,981,12621.938693
415130.0,1046,12680.036233
355695.0,987,12735.301792
395000.0,790,12779.31704
449765.0,1014,12834.361326
457640.0,1076,12892.835457
405430.0,996,12948.238097
418740.0,1000,13003.668122
407135.0,960,13055.287124
387530.0,910,13105.370924
411145.0,1020,13161.938996
266605.0,719,13203.327466
360715.0,975,13259.738112
381795.0,915,13311.288069
404820.0,991,13367.851053
391655.0,874,13414.786478
356010.0,983,13471.252012
419555.0,978,13526.639354
511245.0,994,13580.274604
406570.0,988,13637.428609
520250.0,1153,13702.157681
426065.0,1016,13759.417338
390555.0,914,13811.070777
359500.0,1014,13868.327843
415980.0,992,13924.320388
350990.0,972,13980.797077
405790.0,946,14046.625454
381240.0,927,14084.30554
505515.0,1039,14125.008025
354900.0,977,14164.435656
328415.0,925,14200.54465
464975.0,987,14240.8851
450105.0,1043,14281.674224
347805.0,982,14321.510691
371285.0,1049,14363.078528
353780.0,1084,14406.071702
390970.0,931,14444.351594
504850.0,999,14485.410771
394775.0,991,14525.008035
373470.0,1047,14567.096596
426485.0,1008,14608.721719
419870.0,957,14645.972031
339560.0,936,14682.746899
556835.0,1269,14734.64772
395360.0,793,14765.345629
349960.0,883,14801.057316
411180.0,1015,14841.541885
403350.0,963,14879.476201
401635.0,1000,14919.501402
391185.0,979,14959.135712
404965.0,1017,14999.340599
399620.0,952,15038.156171
393585.0,931,15074.741153
525715.0,1028,15116.58434
404650.0,1016,15156.789774
410725.0,1031,15197.65476
404250.0,1009,15238.978961
560885.0,1089,15281.973286
404620.0,930,15318.343306
432345.0,986,15358.233832
413255.0,981,15397.500463
379605.0,904,15433.591809
406825.0,973,15472.308079
411575.0,988,15512.154263
256395.0,699,15540.943846
415045.0,1028,15581.901027
506080.0,994,15621.643659
405345.0,1013,15662.537645
389460.0,978,15701.828974
509625.0,1196,15750.40979
404925.0,988,15790.736449
272375.0,727,15819.309676
434140.0,1059,15862.130121
280355.0,733,15892.578493
407220.0,1013,15933.9361
703730.0,1266,15983.145278
267100.0,736,16012.958291
410235.0,992,16053.340919
374385.0,1056,16094.954325
661200.0,10000,16480.962805
510745.0,1138,16524.569265
405290.0,1080,16566.633313
397610.0,987,16605.09643
563605.0,1258,16655.035476
489375.0,1019,16695.46144
350690.0,1007,16735.595384
276445.0,737,16765.827651
506485.0,1162,16811.83078
400390.0,973,16850.4657
427125.0,1026,16889.837244
412955.0,1009,16930.561275
267660.0,730,16960.200666
404760.0,1009,17001.307598
463380.0,1022,17041.180996
412730.0,999,17081.196349
346680.0,1006,17121.741299
404840.0,966,17161.219977
452275.0,1005,17201.172583
401485.0,875,17236.588732
410865.0,986,17276.288759
403630.0,1011,17318.045349
557195.0,1093,17361.000474
455520.0,1000,17401.971031
404680.0,1017,17443.317729
565750.0,1101,17487.105644
391480.0,941,17523.991243
512065.0,1096,17567.966192
332230.0,947,17603.868891
354950.0,987,17642.014022
626465.0,10000,18026.543671
