# {"t_start": 1703810166.6493225, "env_id": null} 
r,l,t
-1024921.25,6757,220.152303
-2066297.75,6610,453.088337
-1366413.75,6448,671.962668
-1185426.25,7593,937.76468
-1276366.25,8950,1250.130486
-1102850.25,5355,1446.453547
-617579.75,8300,1736.952893
-494491.75,4786,1919.52749
-1938916.75,8316,2224.331639
-510429.0,10000,2549.675497
-1147825.0,5739,2751.439191
-535596.75,6419,2967.514326
-549888.0,10000,3289.360096
-54426.75,4830,3467.616722
-1846359.0,8865,3782.665616
-1298936.25,5060,3968.394236
-709538.5,10000,4327.266281
-333852.25,6238,4526.485073
-969111.75,6938,4765.51562
330452.75,6291,4982.980603
-727049.5,4972,5169.137265
-1277149.75,7016,5427.565277
-795934.25,10000,5782.103312
539345.5,8221,6064.147951
162188.0,7717,6335.311298
-833664.0,7986,6601.580096
-1848222.75,5546,6791.843302
-1098837.25,5210,6969.072247
-1244099.5,4914,7138.550796
-2065370.0,9078,7439.229852
-899940.75,5072,7610.204451
-662161.5,6643,7830.699189
-1397550.5,5230,8001.343847
630638.0,5200,8174.422749
-1758451.5,7041,8412.055305
-44278.5,7748,8664.764454
-983120.25,8416,8939.299095
-1297497.0,6321,9153.417201
-608225.25,7202,9386.915672
-717157.25,8510,9667.242653
-405069.75,6858,9889.789549
-1867813.75,6067,10094.529765
-1572640.5,5566,10278.608511
-394914.0,4127,10420.402017
-546790.5,6756,10640.319698
-117780.25,7085,10881.24506
-230751.5,6135,11080.486847
-786959.5,8279,11350.218441
-163666.0,9255,11634.396429
-1302650.75,7418,11860.445904
-960411.75,8213,12197.51326
-247069.75,6871,12435.279304
-1592787.25,8439,12719.647659
564416.25,5870,12920.733353
-1610549.75,8362,13219.82866
-1179714.5,6017,13440.122702
-1224938.75,9807,13778.504978
-421969.0,4012,13926.414527
-1122165.5,5668,14127.638724
-658200.25,7059,14385.394818
-743036.5,6032,14612.759495
-1133743.0,6063,14832.972622
-773543.5,7403,15077.495812
-918337.75,8739,15373.313041
-1193277.25,8481,15663.688235
-700870.0,8763,15987.174942
-1886170.0,8641,16296.535749
-586127.5,6517,16520.699306
-275169.0,7934,16787.485523
-2177586.0,5767,16993.121858
351548.0,6217,17424.54456
-1457290.75,7481,17689.207172
-716024.0,4814,17852.005634
-1140210.0,4914,18029.366805
-408106.0,5656,18227.76833
-376389.0,8042,18646.117194
-85386.75,8020,19130.207536
-476510.25,6899,19460.509051
-871787.25,6999,19889.931827
803480.0,8453,20393.875261
-1118099.0,8087,20859.878662
-135285.75,7167,21108.965965
-1374247.75,5241,21287.756805
-941345.25,6901,21520.137271
228114.0,5755,21719.382299
-40279.0,4119,21864.085444
-839755.5,5609,22048.904119
-1373681.75,8158,22317.26454
-762886.25,7978,22594.434873
-870608.5,7456,22841.212095
-797267.5,6785,23065.908985
-690265.5,8774,23352.234243
-794409.5,8436,23625.904034
446201.5,7806,23886.695626
-384884.0,7804,24147.070127
-817638.75,5944,24345.94888
-550571.75,8235,24616.696068
-2438793.0,7164,24855.34977
-364356.25,7444,25100.429207
222664.25,7263,25338.018585
-504045.75,7741,25590.534144
-324021.75,8204,25860.471216
-1036936.75,8163,26130.634655
-528660.25,6880,26361.454539
-1888129.0,7847,26621.060003
-602674.5,4978,26787.400254
-1004780.75,7158,27023.378872
-1685862.0,6345,27228.089803
-1024721.75,8094,27496.459685
-444637.5,6803,27726.076795
-99444.75,6447,27940.23684
-832773.75,6042,28140.085597
-1501646.75,5284,28315.301243
-1141370.25,6867,28542.074413
-244857.25,8334,28813.848972
-1135385.25,7018,29040.46329
77228.25,7876,29299.210585
-929656.5,6056,29500.056
398556.0,7951,29758.933387
-1679922.75,5032,29921.82059
-1181072.25,4790,30079.937572
-520125.0,5229,30256.722242
287202.5,7057,30484.997483
-117919.25,8027,30742.148173
-795379.0,4118,30881.669366
-913165.25,6971,31104.783115
-59123.5,6474,31322.865705
-1099987.0,6430,31533.105679
-1010950.75,7548,31775.676589
-1108512.0,6871,32002.810852
-117874.5,8628,32281.744482
1450764.25,7236,32515.761903
24215.0,5007,32683.540761
-1738960.0,5136,32844.758402
-1387583.5,6527,33060.618916
-837350.5,5120,33228.935826
-222068.0,7140,33459.661044
-2149715.0,5156,33633.010497
-1171440.75,7191,33870.613811
-513302.5,6917,34099.604191
-1235587.25,7112,34331.148932
-1297527.0,6279,34532.121937
-15905.25,7034,34759.416309
-1279123.25,5720,34946.290794
-619104.25,6271,35153.150152
-1645618.75,9508,35463.681705
-1450996.25,6248,35668.289897
211202.5,6811,35889.689353
297828.5,6193,36094.70947
181165.0,4901,36256.339373
-2042295.75,7277,36492.262828
-11972.75,8691,36773.882992
-765191.75,8005,37033.303785
