eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,-275.9018249511719,12,1,6.148468017578125,20,2.599037713935104e-07
nan,nan,0.9118007346987724,128,100,6.148468971252441,2000,5.7550142429363405e-08
nan,nan,0.000250399112701416,133,200,6.148468017578125,4000,0.147109717130661
nan,nan,-0.00036263465881347656,133,300,6.148468017578125,6000,3.3422446250915527
nan,nan,0.00017625093460083008,132,400,6.148468017578125,8000,0.2443680465221405
nan,nan,0.0008597373962402344,130,500,6.148468017578125,10000,0.2394757717847824
nan,nan,-6.61611557006836e-05,131,600,6.148468017578125,12000,1.0797111988067627
nan,nan,0.000752568244934082,127,700,6.148467063903809,14000,0.4804765582084656
nan,nan,-0.01718759536743164,126,800,6.148460388183594,16000,0.0008530482882633805
nan,nan,-0.0009932518005371094,126,900,6.1484551429748535,18000,0.8019174337387085
nan,nan,0.0006328225135803223,126,1000,6.1484479904174805,20000,0.43427199125289917
nan,nan,0.0010352134704589844,125,1100,6.1483330726623535,22000,0.2638686001300812
5879.0,-1600349.5,-0.0013408660888671875,125,1200,6.146695137023926,24000,2.73056960105896
5879.0,-1600349.5,0.0005586743354797363,124,1300,6.147984981536865,26000,0.0012475361581891775
6318.0,-1312635.375,0.015956342220306396,123,1400,6.148324012756348,28000,0.00012599857291206717
6643.333333333333,-1440638.4166666667,0.12801945209503174,123,1500,6.148428440093994,30000,1.3986384601594182e-06
6977.5,-1486159.25,-0.022751808166503906,123,1600,6.148035526275635,32000,0.2614855170249939
6977.5,-1486159.25,0.0020496249198913574,123,1700,6.148398399353027,34000,1.702610097709112e-05
6977.5,-1486159.25,0.0007109642028808594,123,1800,6.14838981628418,36000,0.3883756697177887
6977.5,-1486159.25,0.0005674958229064941,122,1900,6.1482062339782715,38000,0.8057070970535278
6977.5,-1486159.25,0.00018775463104248047,120,2000,6.147774696350098,40000,0.05594320222735405
6977.5,-1486159.25,-0.000530242919921875,120,2100,6.1454315185546875,42000,0.06589411199092865
6977.5,-1486159.25,0.002497851848602295,120,2200,6.121733665466309,44000,1.9212493896484375
6977.5,-1486159.25,0.005899250507354736,120,2300,6.14346170425415,46000,1.0868399143218994
6977.5,-1486159.25,0.0007876157760620117,119,2400,6.124997138977051,48000,0.16654574871063232
6977.5,-1486159.25,0.0025463104248046875,118,2500,6.143104076385498,50000,0.12082795053720474
6977.5,-1486159.25,0.00361478328704834,118,2600,6.131947040557861,52000,1.481994390487671
6904.0,-1602186.95,0.0018633604049682617,118,2700,6.138118267059326,54000,0.6300897598266602
6904.0,-1602186.95,0.0016461014747619629,118,2800,6.147551536560059,56000,0.10284905135631561
6922.5,-1580802.0833333333,1.6748905181884766e-05,118,2900,6.1480712890625,58000,2.6919500827789307
6922.5,-1580802.0833333333,0.0055811405181884766,118,3000,6.148238182067871,60000,2.3912853066576645e-06
7267.142857142857,-1519628.2142857143,0.00012642145156860352,119,3100,6.148017883300781,62000,0.0940108522772789
7356.5,-1561179.21875,0.0004038214683532715,118,3200,6.148144721984863,64000,2.670870065689087
7356.5,-1561179.21875,0.0007404088973999023,118,3300,6.14813232421875,66000,0.14706698060035706
7356.5,-1561179.21875,0.006076157093048096,118,3400,6.147119998931885,68000,0.24758334457874298
7356.5,-1561179.21875,0.00022238492965698242,118,3500,6.146075248718262,70000,0.9805234670639038
7356.5,-1561179.21875,0.00021666288375854492,118,3600,6.146413326263428,72000,0.2023119479417801
7356.5,-1561179.21875,0.20327478647232056,118,3700,6.146732807159424,74000,0.00024571793619543314
7356.5,-1561179.21875,-0.07488846778869629,118,3800,6.147068977355957,76000,0.00017843472596723586
7356.5,-1561179.21875,0.013610541820526123,118,3900,6.145495414733887,78000,0.10498406738042831
7255.555555555556,-1539538.611111111,-8.785724639892578e-05,118,4000,6.147790431976318,80000,3.7463645935058594
7255.555555555556,-1539538.611111111,0.001943826675415039,118,4100,6.1437273025512695,82000,2.7248244285583496
7255.555555555556,-1539538.611111111,0.002437114715576172,117,4200,6.145499229431152,84000,1.4431474208831787
7255.555555555556,-1539538.611111111,0.021639525890350342,117,4300,6.078662872314453,86000,2.867182731628418
7255.555555555556,-1539538.611111111,0.0003383755683898926,117,4400,6.137548923492432,88000,0.11445107311010361
7255.555555555556,-1539538.611111111,0.0034391283988952637,118,4500,6.144927024841309,90000,0.24975180625915527
7255.555555555556,-1539538.611111111,0.012712597846984863,118,4600,6.129483699798584,92000,0.28520092368125916
7283.5,-1462222.175,-0.0004347562789916992,117,4700,6.142491340637207,94000,0.9886539578437805
7384.272727272727,-1477342.5454545454,-0.0006496906280517578,117,4800,6.14717960357666,96000,0.24280290305614471
7602.25,-1413620.7916666667,-0.0005143880844116211,117,4900,6.144111633300781,98000,1.597060203552246
7602.25,-1413620.7916666667,-0.0024023056030273438,117,5000,6.146031379699707,100000,0.0912875309586525
7602.25,-1413620.7916666667,-4.0531158447265625e-05,117,5100,6.145730972290039,102000,4.1726274490356445
7602.25,-1413620.7916666667,1.621246337890625e-05,117,5200,6.146248817443848,104000,0.7732403874397278
7602.25,-1413620.7916666667,0.0002251267433166504,117,5300,6.139772891998291,106000,0.5587061643600464
7602.25,-1413620.7916666667,0.0005213022232055664,117,5400,6.142909049987793,108000,0.23249177634716034
7601.538461538462,-1396067.3653846155,-0.0022187232971191406,117,5500,6.138827323913574,110000,0.23060479760169983
7601.538461538462,-1396067.3653846155,0.0005272030830383301,117,5600,6.143515110015869,112000,2.642326831817627
7601.538461538462,-1396067.3653846155,0.0013031959533691406,117,5700,6.121890544891357,114000,0.2296038419008255
7601.538461538462,-1396067.3653846155,-0.0030181407928466797,117,5800,6.124578952789307,116000,0.6762360334396362
7601.538461538462,-1396067.3653846155,-0.00018835067749023438,117,5900,6.146134853363037,118000,0.049118489027023315
7601.538461538462,-1396067.3653846155,-2.181529998779297e-05,117,6000,6.146437644958496,120000,3.2011585235595703
7467.2,-1356518.9833333334,-0.00012624263763427734,117,6100,6.142203330993652,122000,2.6429524421691895
7467.2,-1356518.9833333334,0.0009968280792236328,117,6200,6.146001815795898,124000,1.0513516826904379e-05
7467.2,-1356518.9833333334,0.0006532669067382812,117,6300,6.143265724182129,126000,0.24532416462898254
