eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
6555.613636363636,268563.4067689091,-0.0028725862503051758,91,15100,5.860962867736816,302000,3.608591079711914
6525.688888888889,269575.7150642222,-0.09185755252838135,91,15200,5.937933921813965,304000,0.013008070178329945
6495.5,277327.87952158693,0.017290115356445312,91,15300,5.729559421539307,306000,3.0823464393615723
6470.425531914893,274197.22932438296,-0.05295920372009277,91,15400,5.907926082611084,308000,2.623667001724243
6470.425531914893,274197.22932438296,0.12928032875061035,90,15500,4.401248931884766,310000,9.564684867858887
6470.425531914893,274197.22932438296,-0.07199251651763916,90,15600,5.586942672729492,312000,0.8382756114006042
6470.425531914893,274197.22932438296,0.016703546047210693,90,15700,4.4336700439453125,314000,1.154583215713501
6470.425531914893,274197.22932438296,0.0034044384956359863,90,15800,0.7672356367111206,316000,0.8306142091751099
6470.425531914893,274197.22932438296,0.003745853900909424,91,15900,3.218343734741211,318000,2.136908769607544
6470.425531914893,274197.22932438296,-0.14876139163970947,91,16000,5.410044193267822,320000,5.445889949798584
6470.425531914893,274197.22932438296,-0.042359352111816406,91,16100,6.014178276062012,322000,0.8917754888534546
6443.583333333333,282373.12121562497,0.028044164180755615,91,16200,4.4425554275512695,324000,0.22916069626808167
6443.583333333333,282373.12121562497,0.021115243434906006,91,16300,5.3121018409729,326000,3.009258508682251
6394.235294117647,323454.80782796076,-0.006264090538024902,91,16400,4.6989545822143555,328000,1.603424310684204
6394.235294117647,323454.80782796076,-0.15862798690795898,91,16500,3.3590292930603027,330000,3.7646946907043457
6394.235294117647,323454.80782796076,0.269828736782074,91,16600,2.2318782806396484,332000,7.4082231521606445
6394.235294117647,323454.80782796076,-0.09287118911743164,91,16700,3.0327773094177246,334000,5.836501598358154
6394.235294117647,323454.80782796076,0.002396821975708008,91,16800,1.8288600444793701,336000,0.44708332419395447
6394.235294117647,323454.80782796076,0.0013430118560791016,91,16900,3.6683907508850098,338000,2.2458884716033936
6394.235294117647,323454.80782796076,0.0009356141090393066,91,17000,4.826754093170166,340000,2.407088279724121
6394.235294117647,323454.80782796076,0.003771960735321045,91,17100,4.794838905334473,342000,0.045946069061756134
6394.235294117647,323454.80782796076,0.0712849497795105,91,17200,5.474173069000244,344000,5.076015472412109
6394.235294117647,323454.80782796076,0.014010727405548096,91,17300,5.870645999908447,346000,0.9038646817207336
6394.235294117647,323454.80782796076,-0.0071260929107666016,91,17400,4.9320478439331055,348000,2.217003345489502
6375.4807692307695,328527.8297869231,0.052326738834381104,91,17500,2.47267484664917,350000,2.587381362915039
6357.944444444444,342881.78702570364,0.0535813570022583,91,17600,4.046568393707275,352000,4.026434898376465
6357.944444444444,342881.78702570364,0.14446574449539185,92,17700,2.41892671585083,354000,0.36155253648757935
6357.944444444444,342881.78702570364,0.009024381637573242,92,17800,1.367022156715393,356000,5.552321434020996
6357.944444444444,342881.78702570364,-0.08029627799987793,92,17900,3.1867763996124268,358000,2.5917506217956543
6406.690909090909,342021.74363269086,0.08746743202209473,92,18000,0.3586726188659668,360000,0.8893305063247681
6406.690909090909,342021.74363269086,0.7589660286903381,92,18100,0.7476275563240051,362000,0.19795024394989014
6406.690909090909,342021.74363269086,-0.08238446712493896,92,18200,0.4737616181373596,364000,5.584832668304443
6406.690909090909,342021.74363269086,-0.0060645341873168945,92,18300,2.0190494060516357,366000,0.06190774589776993
6406.690909090909,342021.74363269086,0.008469223976135254,92,18400,3.7217178344726562,368000,0.06480933725833893
6406.690909090909,342021.74363269086,-0.01553034782409668,92,18500,5.154736518859863,370000,4.796501636505127
6406.690909090909,342021.74363269086,0.046106934547424316,92,18600,5.657628059387207,372000,0.73552006483078
6406.690909090909,342021.74363269086,0.04900360107421875,92,18700,4.611313343048096,374000,2.4810714721679688
6406.690909090909,342021.74363269086,0.008854568004608154,92,18800,0.04997231811285019,376000,1.9621870517730713
