# {"t_start": 1703561581.264378, "env_id": null} 
r,l,t
-23922.0,6248,318.921064
144690.0,6891,613.746629
-20652.0,7244,923.317946
-52459.0,6418,1201.780836
196959.0,5648,1449.558951
192618.609858,5777,1702.135538
195262.859721,10000,2132.455653
475182.260084,8055,2485.524544
571951.850061,4204,2671.482726
-7096.010275,10000,3097.319322
314117.280058,5209,3325.291033
846622.400381,6301,3592.75579
1002717.950028,5772,3818.609851
746823.859747,6482,4070.531266
319348.010139,5401,4284.80798
632964.130266,4177,4450.064674
322174.759727,7899,4756.622096
200890.759727,4040,4914.211299
312325.370057,4669,5103.307195
642538.03972,8862,5441.873598
629621.980266,5700,5666.786804
434450.309714,5057,5864.72726
860577.860029,3882,6021.644895
509899.310049,6974,6294.967242
500971.739683,4941,6494.115128
478791.769721,4496,6681.190133
535895.860025,8513,7016.791496
171869.130087,10000,7390.150007
856819.759727,7250,7667.942957
472926.859696,5237,7875.220066
716164.220081,4351,8049.223936
130716.1497,7956,8359.397594
348807.130386,4960,8555.547469
988613.860093,9905,8928.678276
1079720.580385,6115,9170.268008
886957.310081,10000,9547.185042
530474.870076,6266,9796.801316
521940.219746,6837,10062.163581
499719.319789,6385,10306.828775
389999.040082,5574,10527.155105
201172.129723,7687,10827.134233
538571.17976,5164,11029.348272
849310.859722,10000,11406.793916
862156.400104,6154,11645.498296
370172.220412,6356,11899.527281
167532.949722,4663,12082.62442
1207931.220055,4355,12256.31199
664703.400412,5995,12518.219244
359613.580077,7237,12801.36098
531744.220028,6864,13068.966057
1001497.130384,6469,13318.894613
38035.680028,10000,13686.131221
569651.13967,6258,13930.95788
542389.130107,5169,14135.112542
326061.310079,4845,14328.381596
1486437.03972,7775,14627.861413
22343.309745,5056,14831.524179
347694.680266,9610,15197.453531
507855.21975,6828,15464.755274
865438.040051,5477,15678.441256
323763.130382,5288,15890.107765
715657.590032,8347,16217.825766
-44894.959944,10000,16600.604196
827774.490082,7750,16884.560549
388422.310082,8933,17175.489135
962824.220052,7835,17430.170953
471326.400383,5029,17599.079398
789803.85976,6177,17799.914684
660419.580411,4770,17955.457853
1006802.310056,7341,18185.429279
415171.409752,5089,18337.069145
452461.950059,6083,18513.837152
991655.219713,9114,18778.691486
693070.130082,4142,18904.988197
-53066.869947,4207,19027.886085
1053717.130055,3879,19142.595164
630626.040051,10000,19563.926811
516506.360096,8235,19803.625933
324935.129722,7469,20020.60873
1186423.949747,5846,20194.919416
813180.220106,8509,20443.077221
589035.360093,10000,20731.519439
345696.040425,5606,20898.398749
540695.129744,9963,21186.6787
142831.589694,7344,21402.223533
537303.679747,5766,21568.294138
496089.949795,5111,21717.724144
1157833.220078,9218,21990.671881
835707.769722,9729,22271.292124
175154.590084,5401,22433.172741
336842.400083,8369,22679.372039
815589.13008,9775,22963.659674
1127195.77005,9517,23233.812011
712334.489719,6765,23430.132827
828867.310081,10000,23722.174563
962828.490411,9155,23993.662623
550544.770081,8613,24242.196562
545352.219721,5721,24406.346497
1340446.219746,8332,24651.582778
1120990.400078,6035,24826.429757
596150.85972,9864,25110.521361
855920.400053,6584,25301.775605
994491.220082,8366,25546.033388
691318.309716,10000,25835.945324
281667.400387,7884,26067.377239
338997.859722,9122,26335.006917
1512167.220103,8781,26590.142538
1396513.220081,4031,26708.72199
321803.769694,10000,26995.131375
640426.859814,8490,27241.232619
694277.040415,10000,27530.679081
129706.400078,7596,27749.540992
595775.950028,4603,27887.641744
1012714.040027,8940,28150.903257
307820.220078,4575,28282.063861
989052.310078,8137,28517.264626
656942.40041,9799,28802.787202
-4649.04999,6586,28992.976987
684536.130437,7994,29224.824586
120948.679723,5555,29388.105496
469608.76041,7328,29595.950713
539856.680386,6393,29783.275345
372532.770108,5280,29940.850903
461593.770081,7114,30149.98237
156140.129746,10000,30435.883752
660947.400052,10000,30722.348677
522121.450093,6814,30921.775183
795581.770029,10000,31207.777466
796557.310081,10000,31496.631516
1056709.999735,6237,31675.869481
438643.400381,7333,31891.791713
531090.219773,8303,32131.32345
497015.040419,10000,32420.769817
520799.320027,5431,32576.229808
168495.220356,8863,32833.229247
364920.399773,6210,33015.861738
446187.130354,9720,33295.517425
536255.130056,10000,33578.889072
519511.870386,5669,33743.186698
734132.400055,10000,34034.066281
523260.310053,9455,34307.556542
643257.950415,4638,34445.563845
787600.220107,8486,34690.671118
803242.310416,8662,34942.974876
680853.490081,10000,35229.360814
470836.580382,8816,35486.227588
817442.219723,9460,35759.235966
1049027.039721,6822,35962.208253
373061.309744,9387,36234.965903
713537.130081,8761,36492.396208
496454.309773,7598,36707.886002
333586.129807,10000,36997.299477
-39265.869946,6618,37193.750201
824983.040029,10000,37475.758564
485437.589764,8719,37725.811296
821455.310051,7878,37951.878934
809358.219766,9392,38223.242278
386120.950076,8988,38482.815276
1357835.949749,9228,38750.5056
362854.399776,10000,39037.388771
286278.12972,7342,39248.503396
308281.949722,6183,39428.398338
279193.180374,9153,39693.378292
499491.220057,8663,39943.597146
532154.130333,10000,40231.169301
368907.220084,8272,40470.29222
448150.949749,7995,40701.115458
192924.319775,8204,40939.950436
518870.039723,10000,41231.650367
875403.309721,4504,41371.434975
196283.220025,5475,41530.189846
146752.309774,9240,41797.521469
179071.130055,7879,42023.366858
344621.949721,10000,42312.672013
515160.219746,6469,42499.695225
817769.310081,9614,42775.627372
887769.040393,5959,42951.277
286581.679721,4620,43085.290645
1015473.949691,6968,43291.387208
288036.949748,9647,43569.239536
554455.22044,8630,43823.567815
398565.220082,5292,43982.540488
504072.129693,9977,44272.027365
662769.410036,5069,44426.091435
947824.13005,5072,44570.792785
159559.949722,6386,44762.732167
319827.040056,5319,44920.362064
1048500.129747,9773,45199.859309
986538.039748,10000,45499.299457
1006757.040054,8938,45765.469177
163930.039719,5105,45916.728035
169021.04008,6694,46112.974602
324891.220384,7226,46326.260054
810910.490385,8331,46569.903935
294499.309695,10000,46860.808944
494281.859747,7375,47081.47605
298969.130082,10000,47373.307979
509736.859723,8254,47614.455828
498306.129779,10000,47917.5507
677773.130054,8956,48185.493432
1057527.860058,9189,48471.818705
475244.309721,7721,48709.79805
1363130.400102,10000,49011.157714
443621.310438,6782,49219.688059
890490.31036,4472,49353.755394
1142574.219715,5744,49533.429073
647793.679696,7882,49781.727515
282909.130079,7975,50026.298383
516238.219778,10000,50336.937098
985021.310084,9002,50614.089207
267883.399749,5607,50788.856544
575565.589752,5669,50967.855289
628764.860048,6225,51159.377668
1151941.30975,6066,51348.856235
670090.95044,8281,51609.693189
504671.040084,5996,51798.206573
290610.780102,8952,52075.733528
824459.950051,10000,52391.798201
835827.85975,8745,52666.70568
492258.999736,8076,52911.15243
482403.22005,9883,53220.02473
155992.219791,7508,53453.886275
1045977.860103,9214,53735.55403
476750.399777,7800,53981.643543
468749.949722,9736,54277.054808
704781.500109,10000,54588.446873
431006.580382,6483,54788.237617
877831.310427,10000,55105.898684
153788.039719,7002,55330.587336
824101.49008,9257,55616.704136
308413.090403,10000,55925.777629
677897.129749,9535,56223.233302
604882.310079,6983,56435.951535
456749.58011,6678,56641.68434
854711.860026,7493,56873.568705
826647.310104,6978,57091.833721
341969.949724,4879,57243.098901
381070.860081,10000,57556.829524
200068.130027,4301,57693.441921
183708.000395,9438,57987.822397
665968.860056,9968,58296.344611
501376.270069,5706,58479.699082
343584.040082,8639,58746.510245
677805.13008,6940,58960.859187
-18482.729991,6303,59155.388927
991039.493219,7822,59399.138029
996660.490416,8607,59665.853542
169155.400415,6290,59862.355704
808069.219777,5727,60045.145174
830249.679718,10000,60346.836713
536949.400107,8951,60625.39618
712151.220108,6604,60828.043608
507344.400054,5706,61005.417001
656174.860055,9342,61291.323413
706852.400049,5221,61457.638057
520267.310083,5110,61621.514343
194886.040025,7693,61854.510135
521916.039698,6337,62053.147494
1631703.949737,10000,62365.672925
861626.770056,8502,62626.075167
343589.310056,5685,62807.555377
682042.039774,10000,63112.106953
187298.949721,5910,63302.065279
813067.220108,5528,63477.800783
284703.679692,9151,63760.817507
292316.129749,8681,64028.496078
424315.149695,4368,64169.020355
703926.219775,5388,64336.582357
516603.400387,10000,64642.896204
476802.129719,9524,64938.240909
122437.310077,5617,65114.541986
528365.400082,3677,65233.780269
555955.399774,6194,65426.825413
485842.219719,9464,65720.468562
6492.039747,6210,65914.377056
1011283.130023,10000,66216.747745
1324399.310051,7331,66445.82643
174454.860054,5504,66619.949254
989402.219749,9444,66910.580264
667854.589812,10000,67219.638971
161299.220109,10000,67530.378052
484372.320027,5858,67711.385306
896776.76975,4289,67851.452972
346295.319751,6422,68054.518154
648979.220151,7585,68288.294912
591371.039722,5465,68458.854636
-45987.870186,7842,68705.543765
710592.49041,9073,68990.729779
512573.679749,7355,69223.326302
603833.400079,8343,69481.787933
674864.580079,9928,69786.86151
161208.400083,5650,69968.756175
496578.400076,7871,70217.016822
511613.309746,10000,70525.294218
646941.31005,6235,70723.772207
1868448.40008,10000,71029.182034
835505.039718,6627,71244.650949
809954.949749,7163,71468.202707
823985.949789,9156,71753.851811
843971.310053,5693,71925.44338
442154.310075,8632,72189.09626
1020564.860026,6667,72397.205126
513775.310081,9527,72693.169674
496394.860414,7904,72940.143509
387226.130104,8983,73223.986515
169896.490106,10000,73535.987562
1000227.129723,8763,73803.604239
335390.180375,7193,74023.336697
493428.000094,6437,74223.505152
1229708.309763,4869,74370.697963
1176879.132608,10000,74671.878985
295999.130082,4082,74796.843768
333383.31041,9456,75089.160422
508896.039749,5497,75256.24444
552148.950394,6656,75458.776279
656283.490049,5989,75644.411749
276436.220049,9046,75919.020113
432870.490411,5189,76075.740197
315206.130054,10000,76388.686493
1057510.21972,7355,76609.106313
1003449.949788,6170,76801.406037
510752.949775,6991,77010.602071
1198746.31008,10000,77316.407532
1171240.220382,9013,77591.050842
864088.400056,10000,77888.337559
521108.129692,9855,78190.642651
1337428.490413,8318,78445.633043
512226.400104,8877,78713.241314
629511.770388,6080,78902.33577
781559.400082,9945,79208.956815
835948.310079,9194,79482.968873
514632.86015,8639,79746.777343
337465.400436,6493,79938.797476
961142.310108,10000,80243.132691
323611.220027,8086,80488.936166
529535.220028,10000,80787.680696
672459.670442,6017,80972.128109
466600.309748,5011,81120.760014
451613.860089,4491,81261.858217
788012.130052,7707,81492.640631
537998.869737,10000,81791.084939
516076.860088,5156,81949.068925
1045865.950055,10000,82246.023085
762009.859699,9323,82526.61917
1496283.130386,7655,82761.987775
653051.130411,9516,83046.562847
679592.310056,9211,83321.639413
833048.130055,8859,83591.804075
529532.580108,10000,83894.088141
813930.400414,9271,84167.674767
212406.860124,8679,84433.557141
131739.670411,7085,84651.594189
324107.090373,4079,84774.433018
1213615.400111,8897,85049.286381
56496.219772,10000,85348.77662
-22453.869891,6371,85540.062827
674711.490439,10000,85849.184833
133706.769791,10000,86147.15401
10357.580079,4610,86287.06684
278434.04005,4873,86438.946063
486949.220054,10000,86742.642563
-22292.689641,8382,86998.694019
447278.860055,7642,87229.921343
824148.13005,9138,87505.284124
21489.420079,7389,87731.354752
808951.310054,7907,87971.756314
649836.860079,9656,88264.875367
486213.310414,6510,88463.733391
326666.130084,4331,88594.06378
516057.40007,5500,88761.101909
669110.57975,6097,88942.432233
