# {"t_start": 1703145662.9315093, "env_id": null} 
r,l,t
156298.799353,5645,319.911739
115734.70793,7238,730.621737
70445.020252,8276,1212.130696
335204.803263,5876,1552.933914
10563.550205,6279,1919.975743
893761.582353,5635,2254.528471
1001900.149197,6080,2612.242959
-16934.458578,6734,3004.126517
216849.699722,4836,3284.580686
124605.648554,10000,3847.201707
170374.466944,10000,4407.477733
451953.001579,7523,4822.571309
173228.348397,5788,5149.071443
499787.472431,6330,5504.908433
295172.384877,6160,5853.83448
342255.945752,7466,6270.274019
558783.989458,7395,6684.932419
179568.816138,6819,7069.846755
196901.186429,9626,7596.811328
462366.681393,6726,7969.54037
567549.593099,6191,8313.720282
852688.303066,6509,8680.247317
861403.074074,7720,9119.517438
668197.698681,4798,9404.87387
1376199.903711,4718,9680.116329
564720.762616,4956,9966.756402
172600.159381,6367,10321.148303
508641.929355,5552,10630.280751
74549.002455,7245,11035.709525
60509.123183,6200,11377.236326
345743.934419,6556,11745.000231
119514.657908,5555,12047.310533
38601.09943,10000,12584.123496
330775.898304,5858,12909.831014
712721.78694,5196,13199.096311
163407.065503,4352,13447.145329
128029.407017,5486,13754.614485
66299.15144,10000,14290.088435
552266.708077,7075,14682.651818
200372.73652,9016,15175.849185
245923.659049,10000,15717.652529
314845.394073,8719,16197.000625
586389.410577,7744,16627.570286
5885.250151,10000,17156.687128
531986.500041,10000,17697.958373
345967.294326,7715,18121.002138
691321.196079,8950,18614.224149
1094810.468526,4911,18895.372
856984.718344,5161,19179.363244
734662.013579,5455,19484.879222
512057.458399,4377,19728.989162
800355.904361,4301,19966.986626
807793.907354,4935,20246.374055
316748.324727,8313,20696.506987
208073.299073,10000,21229.917372
37737.952526,10000,21763.740879
221905.208451,10000,22300.64769
438913.886608,10000,22842.070504
196940.625418,8780,23323.771144
526793.989395,6836,23700.890505
65007.401357,8814,24186.601341
323297.204995,7373,24596.751014
539113.540461,7465,25007.854969
350497.454683,7174,25406.299095
14058.2524,5707,25729.898962
334712.664969,5208,26023.908488
166721.927397,8750,26510.343188
199375.067889,6985,26905.773975
133317.408162,5291,27209.128492
227573.304717,7615,27642.478645
530688.041981,6023,28090.573542
24263.411674,6947,28366.499507
182817.50848,5626,28591.620445
484651.801035,7396,28886.797721
-28779.528903,6123,29104.251525
528567.449877,7039,29336.920982
61972.792546,6982,29568.010552
141821.117633,6311,29776.25907
898236.49502,7262,30015.665097
132841.707628,6057,30213.687708
182963.756609,7098,30446.679744
-9377.359405,6458,30661.059119
357173.25445,6500,30876.728909
182716.898671,6556,31106.48124
142851.977116,6275,31366.093661
537753.850912,6747,31642.952952
119538.947278,5427,31867.148219
133033.217764,7067,32157.211972
179307.210911,6437,32421.791126
349100.88206,6285,32683.040018
358288.415178,5853,32925.575794
185668.046004,5849,33169.019168
-9537.409563,6213,33426.643016
178281.766518,6848,33710.055744
31321.361998,6728,33987.632581
182299.877141,5903,34233.50921
78332.909507,7051,34525.51342
487291.800219,6152,34782.440095
9919.292113,6324,35045.768785
-21706.309017,6599,35320.907845
364722.594865,6681,35599.692186
151609.827036,6419,35867.376227
-33340.268996,6841,36153.47222
172104.8988,5703,36390.585388
196740.957631,6364,36656.662357
24764.529424,6575,36933.154795
342909.864248,5839,37187.893961
31324.211533,7014,37491.343948
395016.262866,6408,37767.950138
309641.86776,6472,38047.972087
131062.977253,5834,38301.438135
566727.136558,7424,38626.84783
1255578.433021,8464,38992.862419
32026.661517,6926,39294.984609
-35102.068829,6468,39575.214243
140016.608015,6553,39860.38869
18597.452496,6033,40122.339099
180385.408792,6552,40413.970541
1527778.724667,7254,40728.734299
344317.701976,5945,40983.846247
193858.078033,6644,41270.920558
133873.717108,5194,41497.655303
697045.618039,7172,41810.273048
338040.902601,6195,42078.175875
190228.356449,5667,42324.596422
139569.287145,7079,42630.54855
-25661.609134,6520,42914.157914
73725.249973,6781,43207.468898
48010.890483,6246,43477.662967
125530.737798,6747,43769.656131
844899.383098,7311,44086.94689
385064.537569,7092,44394.952466
178752.258773,6881,44693.409856
57956.230706,7096,45000.509623
171612.516429,5739,45249.143541
291693.153611,6449,45529.031486
526965.221934,5793,45779.851203
-6048.289255,6183,46048.723495
178469.446927,6236,46320.432091
963917.098924,7417,46643.476682
4404.571649,6110,46909.490231
561895.638887,5965,47171.187614
187456.506053,6329,47445.429663
-23163.689096,6377,47722.233618
514187.540631,6090,47989.37338
316252.784522,6894,48289.958184
349573.135025,6747,48584.919454
217316.957396,5923,48844.808379
232913.766426,6214,49118.834471
343127.288446,5638,49365.080668
484239.410608,6507,49646.156914
533862.539572,6127,49910.918154
967021.900752,7425,50234.839526
401175.395747,6599,50519.504875
24800.732058,6531,50804.710665
491945.580756,6150,51069.265847
146576.757926,6664,51358.855515
229992.659301,6548,51642.86759
20765.731578,6259,51915.822998
29605.911759,7030,52221.211972
189648.917833,6072,52485.941305
131148.207853,6258,52752.783719
504835.132397,6228,52979.924031
1060363.069957,7305,53252.588041
466628.061735,6642,53493.327574
-1416.369035,7412,53764.966387
146476.097426,6169,53990.90819
12573.98145,5981,54208.053499
341000.193083,6680,54453.407885
470503.691351,5758,54665.261445
155400.776777,5559,54870.67597
-22631.439598,5860,55099.472707
310269.524093,7175,55399.101717
-11681.078971,6007,55628.643068
178727.336129,6529,55876.600485
356101.914605,6300,56115.086994
146076.358266,6021,56343.40468
317723.833826,6701,56598.829416
466733.659845,5946,56825.308757
-11749.759064,6980,57090.279307
12183.521762,6706,57345.245528
-28138.998594,6506,57593.703988
344203.92421,6503,57841.623714
-27140.259232,6609,58092.926283
642590.38748,7571,58381.711402
354640.782661,6093,58612.613819
130171.62747,5925,58839.886324
310741.384471,5582,59053.477432
-26213.818873,6597,59305.316779
508230.371292,6297,59544.531986
201439.905721,7061,59813.735941
359569.805362,5920,60039.974426
1008970.048983,6710,60296.034203
307460.064484,6060,60528.254024
10071.662161,6352,60771.353509
528644.421315,6236,61010.24061
508593.820198,5361,61216.49219
538400.110739,7100,61487.139463
315163.993612,6194,61721.919289
354681.66244,5894,61946.948896
141737.22787,7139,62217.039144
-27923.998834,6302,62456.423414
186116.19802,7465,62737.690919
319469.037502,6776,62994.592969
-22308.44936,6013,63224.338019
728236.727445,6473,63471.240493
632541.277357,6528,63718.754376
186409.917994,6082,63949.293885
151835.598038,6893,64210.119696
28254.299294,6191,64444.376474
-8813.728806,7235,64719.645111
849615.382053,7040,64985.997632
644733.257894,7638,65274.444526
23517.402217,6792,65528.511714
-13095.639297,6981,65790.294991
523672.341676,6579,66037.334098
475371.820595,6639,66285.137567
569644.341835,6248,66521.236968
312901.704125,6498,66763.326418
-23245.82907,6155,66995.121345
13858.941711,5902,67215.415625
148107.777953,6104,67444.98507
336007.404672,6376,67686.479402
178082.288957,6250,67919.899989
10064.392144,6841,68175.135988
334698.982643,5948,68397.722424
168065.058389,6217,68630.442834
380520.138803,6241,68863.199667
-29008.838509,7405,69138.952716
477704.161073,6979,69405.585469
710591.685956,5727,69620.083551
335743.803248,5588,69829.642539
8049.372089,6549,70072.247314
177483.275678,6360,70310.201079
308852.394662,6552,70554.590801
-34441.179213,6188,70785.437446
1518035.351101,8072,71085.291745
641135.247803,6550,71330.82991
132426.407996,6619,71577.154932
157096.866864,5778,71794.61951
-42295.518695,6413,72035.488394
665719.666317,7567,72318.494914
357729.604767,6380,72557.1631
225288.957514,6010,72780.712232
10878.911797,6358,73017.442107
159378.6967,6701,73267.044207
304718.737163,6813,73518.719288
1203949.471422,7132,73784.310366
349570.623917,6609,74027.607903
172405.858418,6183,74255.309946
181108.6357,7263,74524.291692
48581.410226,6479,74763.039713
348690.024658,6191,74991.673254
9275.592636,6661,75237.51774
1189292.810334,7521,75516.01152
22381.941765,5919,75735.5782
-33566.678788,7273,76004.886225
181105.988793,6477,76243.480645
482943.360807,6752,76489.969058
45651.360412,5841,76713.356762
24674.961673,6900,76968.389262
399820.436727,5579,77175.641909
851031.682567,7091,77436.270699
344273.974686,6318,77669.867741
129416.428356,7034,77928.176834
472662.883731,6286,78158.328711
311070.517525,6016,78381.468555
199649.217904,6865,78633.944734
190373.228065,6529,78873.708497
6916.939793,5412,79071.942007
174813.83651,5549,79277.241556
-26485.629044,6079,79508.346758
4667.739414,5592,79715.848275
28811.289815,6960,79973.057941
300528.72435,6710,80218.813699
1131290.368584,7099,80479.64139
299190.234094,5275,80673.240108
-24712.408911,6690,80916.793133
357323.497998,6153,81141.824946
188263.048422,6396,81375.582031
-23020.708922,5419,81573.901851
958302.55019,7714,81853.896949
557971.679523,6040,82073.258084
221249.36444,5879,82286.400711
299233.484354,6129,82506.861971
16085.241701,6104,82727.807038
57047.16011,6617,82968.875676
133980.687223,6547,83208.668951
354426.254638,6613,83446.812688
134720.427095,6538,83683.848657
1169055.496451,9059,84010.724311
172156.597992,6321,84238.313781
185086.365605,6264,84464.561873
894037.251711,6818,84711.381201
1006094.081203,6226,84936.433527
21344.789596,7080,85192.857411
349823.244677,6260,85418.612146
-26885.539167,6170,85644.380107
296046.463543,6361,85874.154891
-17994.158572,6151,86096.950021
179025.105663,6563,86334.148253
352644.721945,5670,86539.264668
134983.548194,7034,86791.084877
577516.780867,7405,87056.12122
566095.659693,6933,87303.873363
220899.518618,5923,87518.031411
193110.527823,6315,87743.416968
320340.345027,6446,87974.265079
147806.647218,6397,88204.021878
22030.591815,7133,88458.732136
184609.338504,6210,88682.979363
-14635.439296,6322,88910.432867
513091.631792,6775,89156.150216
176158.448097,7212,89413.494423
18755.181586,6576,89649.18047
193289.368258,5676,89853.887595
371047.654456,6549,90089.604019
10961.931802,6648,90327.630249
-20111.509261,6334,90556.587499
353705.053942,5877,90769.275401
4905.731474,6458,91000.792289
343750.972688,6735,91243.390367
195023.525943,7143,91499.818636
384439.654881,5985,91715.411332
324795.297411,6817,91960.843308
7284.221979,6109,92180.00481
148889.976944,7275,92439.847266
22881.96156,6169,92660.965898
-38240.398879,6766,92900.708894
306387.763403,6594,93137.523669
183234.77897,6205,93359.355228
180055.336419,6875,93605.079422
68120.772773,6300,93828.736261
357328.813443,7881,94107.853641
28478.401255,5816,94314.493106
306430.58501,6101,94530.054694
63146.192645,7154,94784.345741
520906.750721,6096,95003.08437
153120.257686,6287,95227.166679
359192.584845,7162,95480.624801
347443.755133,6154,95698.530233
311180.455234,5804,95904.233003
66869.640236,6787,96143.605126
6114.139481,6471,96372.145108
9137.111392,6103,96586.967179
26554.021393,5278,96774.936344
350132.474257,6265,96998.608418
189100.41849,6456,97225.49255
4579.151946,6734,97462.991087
-32487.648285,7151,97715.047363
68946.892987,7336,97972.889768
289858.304241,6404,98200.705346
386721.069012,5956,98411.597075
507502.971155,6109,98628.533447
335084.212322,5119,98809.289624
136744.277295,5467,99000.847083
295412.16355,6148,99217.712346
176134.355737,6123,99434.859133
509399.112237,5920,99643.192198
360297.444182,6513,99873.720611
25123.499414,6357,100096.515413
145162.38754,6026,100308.497694
372720.91349,6942,100555.966085
337724.584694,5701,100756.908645
824949.633362,7079,101005.831619
203696.706099,6739,101243.52355
24493.07912,6300,101466.974628
699218.577486,6860,101706.935239
344741.08904,6046,101919.33419
188778.268376,6590,102151.582207
515339.292021,6456,102380.534474
505301.453416,5569,102578.214247
827731.224591,7654,102846.997708
348580.824832,6382,103072.317063
149205.230807,6006,103282.408722
539489.609222,7371,103542.248899
398365.106062,6736,103778.560047
-23706.589118,7506,104040.705756
316587.594057,6421,104265.692554
399277.605573,6855,104506.174762
27484.091911,6934,104746.470182
191261.086066,5484,104941.878974
29600.511549,6906,105182.843529
397338.533141,5833,105388.12885
186715.84196,6197,105603.901809
843765.952011,6443,105828.807516
705586.978812,7657,106093.820433
341204.545285,6412,106317.22308
144958.977175,6447,106542.238122
482371.230242,6899,106782.901469
-35926.908446,6076,106994.023932
397177.392729,7192,107247.660661
528031.960706,6914,107490.052552
322978.344983,6683,107722.162225
314687.354611,6999,107967.98562
196466.937738,6845,108208.226315
169547.978531,5753,108411.334294
1153861.055826,6682,108645.502072
71818.070191,6987,108890.007199
336705.382633,5684,109089.776236
34108.961706,6324,109313.610364
506379.982891,6276,109533.686002
517793.080211,7268,109790.541617
20634.841745,5635,109989.393176
12098.369822,6200,110208.270359
-13754.659421,6220,110428.726488
341915.893027,6120,110646.066247
388926.555656,6618,110891.180621
302018.794767,6627,111126.920736
1193791.988475,6847,111369.712523
134845.857807,5822,111576.232928
357294.014476,6471,111807.786338
653140.387852,6561,112042.956206
517148.430577,7227,112301.585189
348769.6576,5626,112504.692421
643043.557104,6503,112738.50245
392328.773403,6264,112963.035616
147945.517265,6467,113182.156898
868802.782843,7369,113433.629209
681413.385693,7447,113687.680754
-21206.178953,6594,113910.717993
133498.417179,6487,114130.813616
140369.867984,6562,114356.762249
842995.447918,5730,114553.370562
230193.829402,6956,114791.178784
177098.628104,6051,115000.951178
26590.161246,5533,115191.501268
704646.71438,8201,115473.662988
870084.045132,8326,115759.873189
-7851.489089,6595,115986.746405
131265.808322,6181,116200.02619
149191.70727,6234,116415.837266
309520.4439,6330,116635.325234
136669.24811,7113,116880.701774
182979.759052,5924,117087.07563
19253.561808,5665,117285.340339
355806.112278,6121,117497.176616
151558.627478,6184,117711.45903
357208.215827,6853,117949.959747
194625.326188,7413,118207.815475
677347.955102,6658,118440.606971
186892.695899,6203,118659.840151
825869.842792,6486,118888.688926
-20165.388781,6727,119126.841664
180266.556459,6950,119371.640301
34178.301276,6199,119589.543578
149394.076887,6401,119815.082831
217792.807117,6337,120037.515035
348646.074994,6856,120280.61367
172235.436703,6700,120515.194251
528779.225336,5931,120724.075138
183856.887786,6216,120948.493052
59759.442782,7407,121211.587119
381062.791581,6516,121445.062002
149473.858089,6753,121685.914128
20874.231977,6416,121917.327907
398399.732835,6620,122154.165367
1306405.363052,7655,122430.638547
174619.288194,6672,122668.128822
60153.673058,6446,122897.633328
339556.024889,6876,123143.849811
353140.881747,5804,123355.075634
518764.79866,6584,123593.022679
1353893.513599,7682,123870.784162
215640.222859,5705,124077.24068
336808.703964,6043,124296.105385
62512.939724,6112,124518.066939
356080.955225,6579,124754.172637
14393.489618,6883,125002.431926
359297.785515,7041,125255.506744
128637.748308,5929,125472.491809
404169.465167,6692,125716.641767
353371.03834,6385,125947.282027
185224.935724,6722,126191.46784
189200.427111,6601,126430.356239
172485.337337,5937,126647.387567
469243.599902,6711,126892.869301
853796.163814,6670,127131.863842
187792.925322,6115,127353.479888
148574.607004,6608,127592.728923
182318.85651,7188,127856.835773
13200.899147,5876,128072.23493
172688.50798,6418,128303.376094
57733.220711,5300,128498.08991
12880.461968,6848,128745.917537
6393.600033,6216,128971.858992
367749.965605,6593,129210.672802
394186.465129,6509,129446.450729
521572.508853,7230,129709.643518
849636.823609,7661,129986.820445
233248.079181,6088,130208.942879
19302.781817,6923,130460.550699
-14477.678985,6833,130705.989111
688363.985363,6320,130935.833175
10446.219652,6336,131167.204607
340657.76491,6284,131398.932278
152230.737272,6720,131641.932597
407415.492473,6865,131891.731598
537433.804061,7738,132173.722123
298505.666552,6355,132405.642736
688558.987248,6560,132645.922089
139234.39828,7856,132930.463494
15900.571722,5968,133145.696815
703676.30643,6871,133396.100972
138317.941237,6363,133626.847109
-30507.667682,6568,133864.697608
-35582.969029,6855,134113.28455
18034.652041,6930,134365.693259
-39021.708772,6225,134592.537948
344334.592529,7064,134847.666039
230317.376609,6236,135074.312069
176976.988043,6052,135298.173629
529915.960322,6419,135531.030795
168362.486343,5935,135746.661892
-28459.71873,7728,136026.22263
179888.268055,6391,136258.689848
22262.221881,6382,136492.999715
180611.278297,6839,136741.643718
683612.540858,6192,136966.718586
147527.797183,6985,137218.80578
396771.62278,5890,137435.918505
532467.960982,6868,137686.017563
8790.202699,6651,137926.246541
1028011.171734,6856,138174.748821
149822.747611,7090,138433.376185
63239.232781,6595,138674.884581
-23882.409114,6792,138922.283405
21392.331133,6394,139156.686537
363349.074298,7053,139411.993578
361130.515025,7147,139670.628918
306081.654981,6088,139892.760241
1020724.111639,6561,140132.703979
200689.898285,6149,140353.807407
178080.345573,6343,140586.610613
21265.061827,6473,140822.352119
345290.552665,6530,141059.398239
393450.72562,6110,141281.932266
516923.621951,7223,141543.297747
847108.586136,6308,141772.063582
301319.354413,6660,142016.473418
138547.957135,5782,142229.244106
323545.355891,6381,142460.911974
650045.577033,7247,142724.347486
148788.547641,7049,142981.450169
461074.241348,6330,143213.144504
353453.072681,6587,143452.265095
353528.383078,5499,143654.013098
232472.208481,6198,143877.976962
461705.754607,6059,144099.957563
13474.191827,6336,144328.605074
465793.369815,6616,144568.263557
404398.533288,5907,144781.123616
356912.038425,5902,144994.52488
477039.799573,6434,145227.338565
-37335.649247,5966,145446.380928
179486.048893,5235,145637.699273
-20846.159125,6299,145866.26671
368565.845228,6298,146095.69283
344772.754942,6757,146342.528532
139479.948491,6938,146595.078615
701110.508259,7447,146864.809591
825776.894143,8752,147181.351477
812262.196597,6511,147419.231932
140150.29784,6027,147638.474493
389136.320303,6384,147870.195781
-12523.338914,6890,148118.644947
14891.041347,5646,148330.335866
180145.577917,6295,148565.215643
7685.551725,5138,148753.505405
-36856.448899,5762,148963.017637
153538.767561,6721,149207.45772
354209.894651,6951,149458.079237
-19896.379238,6945,149710.126946
177819.735548,6172,149933.898932
1212104.021062,7692,150213.348349
179943.747801,6208,150437.290187
1023664.648881,6247,150663.714127
219975.246426,6305,150893.881756
21321.099278,6117,151114.895232
12691.061906,6037,151342.644974
-15863.389419,6522,151590.959086
13051.501655,6527,151840.965869
181731.138804,6299,152083.896449
231970.127039,5887,152308.577123
20155.841943,6277,152548.459813
21128.851733,6761,152806.86872
2072.152058,5935,153034.41172
142470.017725,6502,153285.707144
355520.102205,5857,153511.174226
-17865.389405,5829,153730.782692
142153.367398,7119,153988.92961
386580.783385,5680,154193.545969
521971.129735,7335,154461.971547
178515.356733,5896,154673.417729
312809.794525,6541,154908.569136
154597.1476,7625,155181.947882
128425.577405,6585,155419.296858
187749.388363,6408,155648.21665
317673.464985,7171,155902.150476
486416.850806,6601,156138.20146
1032507.598603,7512,156408.220728
826437.324836,7380,156673.039714
-32792.908891,6406,156903.895374
148557.597561,6344,157127.264858
