# {"t_start": 1703145662.6317039, "env_id": null} 
r,l,t
317795.614829,5686,321.393972
320210.85542,4890,598.257842
343265.864657,7982,1057.680175
390487.713155,7236,1481.267189
206414.616594,7608,1923.263814
894458.590601,5607,2256.921096
-31415.718362,4685,2535.699035
408194.946472,7209,2952.892376
-20401.550147,3626,3167.551354
-42954.248182,5759,3487.594195
161221.156442,6945,3882.163725
536864.331758,7390,4299.292437
333098.612999,10000,4850.486847
512388.552312,6125,5193.76195
1012737.398231,6418,5561.488813
-782.807989,6728,5937.589814
193495.359237,6861,6322.350836
237669.21905,6559,6687.035678
213091.726684,6041,7026.752913
-34916.709051,9138,7532.994319
362483.453735,8556,8001.699585
351710.803479,6638,8373.301921
807900.494787,6712,8753.249077
1225589.274033,6056,9095.869158
248215.86857,4610,9367.450898
688712.827624,4645,9640.577374
1181769.144674,4292,9892.151993
340648.095056,4995,10173.89416
-1306.938209,8851,10664.481963
30779.901206,6968,11054.470794
-13573.548246,6990,11441.078425
519969.805298,7662,11863.902735
273354.607763,5185,12147.000981
163495.257157,10000,12689.280215
19704.629503,5440,12990.576549
291036.403523,5169,13280.168265
827799.00301,4907,13561.082234
239958.867355,7013,13944.518783
171066.057754,10000,14482.849155
180559.916688,7066,14872.968284
37106.25182,10000,15420.459962
-1438.888253,10000,15961.038486
178380.818455,6652,16330.953344
355292.564218,10000,16874.663827
60090.929235,10000,17409.919613
543264.962078,9185,17909.419579
318257.684287,8725,18385.342437
166666.899051,5065,18670.411806
334648.435518,4877,18946.998574
1400283.296539,5914,19274.515412
408998.783596,6211,19621.905425
786887.423707,5380,19923.048258
675586.211101,5005,20203.19582
1188969.696624,10000,20744.848882
171890.557617,10000,21278.378543
-11247.69785,9245,21771.560374
388302.773646,10000,22308.893939
513991.811026,9596,22827.656001
209437.896305,7559,23240.874666
150337.968187,7584,23661.60389
503727.900215,8715,24142.198609
316315.04356,7443,24554.551212
28205.879947,8480,25021.998906
241454.146537,6446,25382.174237
13866.949693,5679,25701.299867
170557.25858,5414,26005.082937
183321.596635,7440,26419.42295
365254.002779,7346,26836.194151
175309.538681,5919,27173.563026
-27850.618889,7044,27574.676976
-45458.688569,5700,28077.253291
168286.549144,5785,28308.501887
50312.790363,6567,28570.626125
137470.618603,6411,28825.088372
304881.227782,5585,29037.032669
239007.71857,6778,29259.519588
175134.346129,6946,29488.195385
12163.052112,5938,29686.067025
328403.144266,6405,29897.430369
636286.9872,6144,30099.602762
182138.957984,6473,30311.846875
359348.135108,6285,30518.788145
8733.322054,6202,30725.468239
170233.018677,6356,30936.090703
468450.701287,6292,31169.633247
294926.583489,6055,31418.940976
18003.471859,6328,31679.721029
-8703.899514,7461,31984.843387
154420.267626,6899,32270.395531
188661.928407,6175,32523.79152
162708.448452,6535,32794.87826
476265.210238,5996,33045.351539
1033471.131774,6887,33329.533714
176150.438062,6229,33588.531129
34774.820731,6344,33850.317147
532322.381882,7609,34165.681086
177810.388648,6998,34455.453079
303830.514284,6961,34746.77231
-37022.569051,6780,35028.879174
318559.664236,6805,35312.716456
308251.87422,6180,35570.702855
-22751.519257,6425,35838.40788
173700.158846,5868,36083.554853
365356.225271,6605,36358.285035
194476.917815,6509,36630.737613
59725.642614,5956,36881.324143
141093.108061,6136,37146.912674
351214.434334,6611,37433.665188
817398.273731,6944,37732.601489
814523.442723,6865,38030.440082
493206.213232,7227,38343.756473
303279.113856,6229,38617.456489
53235.742836,6720,38907.699832
541783.409987,7570,39237.384078
19715.709382,6926,39537.901373
181791.88912,5627,39783.029321
682014.088377,6922,40083.091471
318008.333697,6935,40390.838067
174358.90576,6639,40679.367244
561730.19635,6902,40976.398444
69100.760316,7130,41284.437515
342446.514876,5686,41532.114204
215836.406463,6261,41805.531253
196003.858341,6654,42093.451348
294364.615119,6232,42364.521135
181744.418119,6343,42638.575144
17415.891355,6008,42899.496414
3926.591623,6494,43181.414488
130027.518322,6523,43462.893534
-20175.419067,6670,43751.811162
186656.679011,5892,44006.717707
563994.029083,6545,44292.026279
345095.308405,6152,44558.000454
363661.327916,7131,44866.326268
570833.233223,6475,45147.07078
391744.071104,5648,45392.970845
14803.432112,6622,45678.797699
377857.451285,6183,45947.597914
516848.793016,6315,46222.96891
6652.972314,6285,46497.185433
317917.643174,6877,46796.085968
403844.713509,6675,47088.4918
553769.219941,6517,47371.962752
6964.579621,6627,47658.791306
300705.248086,5976,47920.834605
676185.177802,5810,48174.548629
845913.655748,6757,48469.013278
175725.506438,5676,48719.733544
307921.714149,5652,48966.513257
673820.577984,5332,49200.39666
233925.686249,6091,49465.818823
180693.798596,7774,49802.600641
358443.324637,6521,50085.849857
151457.548197,6888,50383.796695
-35871.70877,5912,50640.692834
340307.443543,6109,50906.774995
147789.88664,5965,51163.469636
12645.739965,5868,51417.625534
532481.441906,7027,51723.310319
16268.29926,6200,51993.620765
577741.012408,7434,52316.328334
174769.648569,6030,52580.760741
-26367.288716,5670,52809.988342
382221.30357,5818,53022.498204
128437.047789,6610,53270.191801
-20648.309287,6060,53488.912822
189433.898383,6205,53716.708336
1364532.683601,7079,53975.329653
301647.974617,5533,54176.163406
5874.909671,5760,54387.197906
-44680.218439,5632,54594.811604
-18441.168484,6532,54835.454241
507992.439911,6344,55081.549183
17424.412418,6449,55354.885906
142513.941355,6803,55614.184927
358699.964826,6397,55856.884472
-30696.318856,6804,56114.585076
26328.351847,6457,56359.724283
353576.254018,6476,56606.342365
143669.807364,6944,56871.395992
333592.095367,6800,57129.199661
-21849.778729,7295,57406.217496
72037.100391,6044,57637.656745
1032598.16407,7262,57914.390921
353148.434828,7367,58194.330128
344096.285865,5944,58420.99773
-21140.77917,6373,58663.371586
193703.825504,6814,58924.217972
352944.025402,6724,59181.339957
67236.372434,6741,59437.850037
-20990.858762,6730,59693.418823
-18682.98928,6022,59923.596172
73573.698085,7146,60197.348767
10077.429854,5980,60424.874545
143479.447672,6371,60669.694986
185461.105525,6650,60923.682494
130462.717709,6812,61185.864145
517632.171581,6598,61436.871123
15391.049642,6817,61697.005809
178489.998795,6417,61940.918952
149811.057289,7415,62221.677037
2968.399773,5675,62436.579235
351050.895515,7217,62709.535952
301001.755206,5888,62932.578917
357419.434732,5587,63145.41221
478863.780768,6232,63383.862604
299452.494995,6262,63620.712039
502958.790239,6048,63849.765222
30191.749867,7187,64121.442618
317403.884579,6318,64362.010674
352789.24426,5669,64577.35176
483625.5106,5634,64792.85329
402129.974249,6923,65052.615148
131293.437322,5784,65271.058877
72852.841669,6717,65522.363775
349491.754727,6763,65775.433538
-31422.758806,6877,66034.028174
527199.740904,6594,66280.209967
149889.40746,6350,66520.244126
24448.661618,6709,66770.50001
238894.629307,6612,67018.360945
480854.550344,7857,67312.891315
684718.498566,7932,67612.15081
148577.827284,7184,67881.06554
342406.355355,6147,68110.585382
486618.871176,6864,68367.381772
648893.406462,5992,68590.986626
313255.004007,6356,68828.664817
14929.7625,6913,69085.58135
17307.902038,5824,69309.574578
-36644.138551,6278,69543.812226
174253.62864,6277,69780.18908
-24376.799139,6403,70017.968126
9152.562072,6468,70259.705274
31929.161626,6920,70517.104528
363750.054625,7334,70791.614953
352259.152325,6762,71043.53702
173453.568793,6402,71281.979149
184348.00827,6658,71531.235768
1173409.60609,8114,71835.959803
183243.626949,6122,72064.533701
1031484.170981,7567,72348.753305
-29637.978935,6486,72590.909668
849853.825076,6576,72834.878929
309251.883248,6644,73082.828857
186921.525935,6388,73320.470655
175398.678644,6295,73553.797006
27843.61897,6231,73784.801079
131857.907923,5896,74001.052179
-31690.529233,6203,74229.513318
130681.827552,5715,74442.50068
129890.19794,6839,74694.40843
152499.527862,6811,74946.386286
692348.747062,7046,75206.501708
-37704.638793,5911,75424.020196
509243.741874,5977,75644.946861
1070505.5205,7764,75932.991205
347743.764183,6856,76186.300487
294983.224568,6787,76435.525839
335875.894194,6940,76698.389423
310528.154651,6142,76925.460779
351803.452449,6142,77154.119662
218947.089457,6466,77391.436744
315919.113432,6842,77643.096762
-22277.719055,6738,77891.499046
192573.808068,6772,78138.261838
528320.252736,6192,78368.120391
355723.432258,6756,78617.216476
177339.38684,6808,78867.110742
137158.857292,6406,79101.871973
5278.042025,5690,79313.191028
185116.098794,6802,79571.853545
175212.206792,6219,79802.208766
313713.46393,6922,80056.597225
336927.974687,5707,80267.218662
342036.404442,6111,80490.275526
399448.546733,5902,80705.497855
358216.632417,6641,80948.300892
152282.657654,6255,81176.458897
28307.881765,5632,81383.387842
55652.43072,6294,81612.886384
136270.398131,5733,81822.195669
847500.22411,6052,82041.021795
345764.354661,6464,82275.295897
1013988.249037,7108,82532.36214
11287.969425,7322,82797.917164
385143.694917,5545,82998.558131
-26260.509103,5940,83216.822199
573019.200109,5895,83428.820747
220617.759945,6739,83673.798149
350078.694677,6502,83907.63552
177205.937349,6316,84135.302686
345788.062711,6608,84372.612711
135260.92091,6120,84594.968526
51043.150274,6393,84826.597689
655597.937422,7607,85102.101849
219753.627498,7137,85359.555841
351201.644994,6750,85604.268626
52527.21035,6662,85845.77344
224416.357011,5497,86044.918642
-23269.938638,6938,86296.1645
5845.239456,5757,86504.839554
302813.964588,5796,86712.456141
193691.307845,6543,86946.135962
223680.867453,6517,87178.399399
573530.362519,5914,87391.938583
388557.922747,6049,87610.369142
402244.403845,6569,87843.65928
293250.104611,6448,88075.834981
320716.624302,7134,88332.332455
311215.494721,6512,88565.072098
-21802.568926,6890,88812.770767
398710.594997,6693,89054.511891
809241.476563,6319,89282.127394
531968.184624,6808,89525.788748
321233.257507,6668,89765.321589
347108.695096,6533,90000.653481
-2763.439727,6941,90249.088326
172231.026625,6250,90474.102332
295628.464854,5979,90689.798676
168943.436149,6246,90916.566745
148287.867071,6258,91141.759602
689937.670741,6577,91376.722383
13058.201828,6302,91603.384469
365658.196186,6420,91834.656677
635340.887877,6577,92069.940992
193859.578056,6455,92300.492497
405211.85696,6438,92532.34372
22594.189269,6849,92776.225938
1025868.488729,7073,93029.997183
396180.885664,6833,93273.620883
-36001.448929,6101,93492.375874
737551.076392,7690,93765.059097
311202.763654,6538,93997.145823
28675.761766,6219,94216.913117
184826.19636,5824,94423.96557
371347.174253,6641,94659.793128
64768.953385,6707,94899.018492
5107.219728,6375,95127.722405
519691.659292,6693,95365.588749
144046.347701,6389,95591.683627
301491.594412,6406,95819.128004
9600.361638,6306,96040.73576
573223.327272,7505,96304.414609
24397.261464,6118,96521.74561
485696.951274,6978,96768.468822
339598.818379,6515,97001.22249
33547.201739,7329,97259.287932
636089.07766,7687,97529.204404
134957.837722,6047,97743.249516
177159.788876,6653,97976.771796
13324.942469,6210,98198.264962
342529.675553,6358,98424.056857
9676.941719,6099,98639.47981
16087.911529,6152,98857.161052
298810.573404,6033,99069.740228
633998.250006,6912,99312.720059
318556.483801,6350,99536.948199
71251.490559,7106,99787.871755
142439.317097,6307,100010.552877
363436.444358,6389,100234.119515
-19475.699403,6080,100447.819523
134135.047771,6239,100670.798956
-34010.919222,5653,100871.570087
1021132.234621,7833,101144.492096
723006.778687,6488,101375.06021
190998.948535,6547,101606.591742
231978.528743,7780,101877.755039
343177.214189,6165,102095.313174
296345.794776,6624,102331.216506
173285.74731,7024,102579.805596
56864.700618,6220,102797.580782
361464.514077,6172,103015.388268
360363.125597,6228,103234.232442
151312.277458,7353,103492.279545
298894.433347,6425,103718.779754
319577.763003,6606,103949.764796
313806.523503,6008,104159.586455
658645.989808,7159,104410.483271
733989.518244,7271,104663.709699
186654.157887,6807,104903.12769
136034.607738,6311,105124.508427
179572.316505,6391,105347.138757
315135.554152,6606,105579.759225
291594.974838,6135,105793.814873
483305.080486,7194,106043.870752
147504.577028,6949,106284.473551
311363.8543,6220,106503.045373
224209.827863,6017,106712.291499
133245.277475,6444,106937.240239
411043.961023,6299,107158.371491
153793.197682,5917,107365.644123
-35794.518897,6254,107585.023336
496265.599512,7028,107830.345583
897101.016198,6948,108073.59227
355553.904801,6911,108316.284558
199841.168136,6709,108552.012586
580862.38312,6861,108791.963491
9852.691836,6627,109023.973229
7934.941598,6567,109256.336489
58465.09262,6407,109483.084866
179333.14629,6161,109699.491065
476629.191223,6640,109934.451397
174275.368011,6476,110161.758748
22514.49164,6223,110383.076051
459676.279915,6387,110610.336926
400629.485444,6742,110858.450508
198389.895623,6872,111103.036042
516049.07173,6696,111340.389745
507061.359569,8243,111635.828198
10485.331938,6711,111874.040356
658610.70993,7107,112129.570747
230459.50619,6467,112361.188871
319079.74416,6019,112578.463686
-18500.058746,6860,112824.253687
387147.580951,6119,113037.975846
850499.274087,6825,113269.687796
1166910.586881,7176,113514.784718
125515.9183,6244,113729.279186
199071.298029,6693,113955.077701
144812.487805,6144,114164.927437
356352.244754,5856,114365.80319
-24983.718465,6790,114599.854568
147336.067937,6284,114813.667353
159564.161405,6460,115035.292073
192885.587882,6454,115259.911845
226303.218608,6269,115475.030736
343183.152519,6578,115701.196031
511147.092413,6484,115924.690298
10929.529437,6460,116147.321237
378581.084414,8018,116424.097623
490050.450531,6418,116646.466928
481036.507715,6295,116864.746295
168506.198746,5976,117072.53711
15037.902559,5876,117277.403775
196007.327791,6622,117506.390423
-17226.779361,6649,117737.129457
696239.97679,7227,117989.648646
-12809.818966,6063,118199.844548
343151.805863,6187,118415.214226
71101.991568,6314,118638.258542
301013.796998,6031,118851.962533
522958.210862,5447,119044.464333
183765.856003,6793,119281.498485
677318.645892,6081,119496.189369
-28441.019079,6600,119731.389929
173145.919282,6180,119947.235919
-11578.259413,8256,120238.572099
136211.787307,6507,120468.037613
145232.317403,6162,120685.452863
363092.837714,7295,120946.806584
236110.496307,6801,121188.312896
-14519.87934,6379,121415.476948
406203.232718,6346,121643.042534
183535.795977,7140,121900.453237
22948.281885,5923,122113.569072
349297.645354,5972,122326.881778
399621.49255,6008,122541.619752
18027.262009,6754,122782.985161
406912.283205,5916,122996.538844
150160.57048,6687,123236.46606
307796.154426,6290,123463.529202
179678.357947,6374,123693.652227
52955.541722,6879,123943.315491
146679.277451,5932,124158.268983
188306.348725,5940,124372.551882
698159.389081,7369,124639.566943
-24815.419122,6173,124861.398781
355472.364903,6102,125083.548635
578307.957057,7944,125368.753177
651102.787698,5976,125586.565572
187547.0892,6682,125829.382012
870915.241586,6808,126075.699
8223.372702,5988,126294.619141
325091.233004,6671,126537.25214
192164.447861,6429,126769.99673
-19771.188913,7030,127024.878056
-34949.938831,6177,127248.061604
-38069.129011,6346,127479.286306
143087.277981,6680,127722.003845
156083.076965,6590,127962.706523
344487.852703,6128,128186.526742
800728.673446,6297,128416.431966
180574.688584,6927,128666.182962
125317.997495,5919,128881.352095
323470.9937,6707,129124.088171
-11333.179277,6937,129376.306439
201895.827365,5603,129580.839385
642392.836329,6938,129831.263992
183606.258589,6478,130067.065287
320380.053107,7265,130330.166043
182026.325882,6389,130563.658721
187071.697925,6420,130795.517786
9997.87183,6109,131017.615788
375253.516962,6485,131255.427911
68617.831992,6705,131498.476069
342228.022442,6559,131738.734863
481075.992877,6373,131971.028354
521267.281238,6374,132202.133108
188766.098985,6215,132428.014136
182218.437693,5740,132639.131429
861278.023911,6884,132887.778356
183756.678735,7043,133141.939854
536887.789,7307,133408.221777
650648.53681,6366,133639.345097
973122.17105,7326,133904.208763
196036.517861,6981,134157.436682
-21079.86933,5703,134365.89323
128344.22714,5930,134581.063633
47277.190339,5802,134791.392306
319493.915002,6558,135030.011357
-34819.599264,5919,135246.387633
346218.864304,6281,135476.190102
850404.792979,7049,135732.709255
176335.395745,6263,135960.287213
173454.828607,6191,136184.131641
1360044.372181,6170,136408.116958
192247.758144,6028,136629.151533
140461.34157,6592,136870.403351
-33237.178927,7309,137134.675541
-1884.21819,5346,137329.76847
362733.95217,6553,137567.945243
-40339.05892,6970,137820.666789
30680.35141,6818,138068.723453
156973.956857,6361,138301.787416
38001.241826,6784,138549.21777
242453.97641,7631,138825.645545
-20021.619066,6561,139066.251876
533684.562922,7930,139353.307574
-23678.219634,7148,139613.535886
512529.139579,6675,139856.393954
213972.168723,5894,140071.425102
349285.434838,5957,140286.175422
187987.61645,6256,140514.277621
179404.657807,6189,140742.044426
33523.381725,6690,140985.039975
342646.045313,6588,141223.960476
16297.431655,6278,141450.92325
561088.330732,5958,141667.973853
179189.035571,6057,141889.059133
61047.890831,6256,142117.817194
843876.375405,6628,142359.729902
295561.474654,6238,142586.806129
176973.748172,6403,142820.528288
147107.958167,6484,143056.683268
841862.105381,5784,143268.15652
155431.970618,6233,143494.711507
355614.053802,6354,143728.397641
189151.286029,6663,143971.48698
-27901.389051,6385,144201.305102
6371.531821,6614,144439.46663
191553.068902,6058,144659.97702
398878.346776,5959,144875.14932
397070.523874,5770,145082.325243
522733.338611,6387,145314.148363
167924.789133,6191,145543.30679
-19921.489175,6650,145784.154073
402251.06502,5588,145987.213562
31163.731547,6828,146236.154554
-26903.999076,6885,146486.99996
192685.16655,6769,146734.876757
347183.174445,6295,146960.718253
416626.933407,7436,147231.71797
317745.524673,6118,147454.016545
402266.625376,7839,147737.280572
146845.597185,6317,147968.212646
302801.573559,6744,148213.271176
57391.230218,6801,148469.435831
1185876.945155,7420,148743.017151
339486.975901,5728,148950.539048
51902.882598,7212,149212.827979
1004931.910766,6237,149438.150845
307757.554185,6706,149681.888362
147797.347527,6705,149923.47692
212944.263007,5466,150121.98186
191761.0381,7131,150380.6003
-39931.008662,5505,150581.176816
468564.259821,6505,150815.495321
692711.520807,5845,151028.588444
569005.269532,7750,151316.692326
473982.700973,6413,151560.888772
37716.051817,6438,151807.256875
859563.222032,7360,152091.452231
16635.481708,6935,152355.74868
178589.698526,7275,152633.581136
43345.291297,7138,152907.195946
179850.246573,6581,153161.4453
-22985.439351,5938,153390.280638
346067.854392,5871,153615.625063
300200.923385,5846,153830.496718
1021794.288746,6616,154068.055722
9256.082243,6237,154295.127053
-33141.898645,5879,154510.08939
709143.557145,7226,154771.429329
130057.447,6157,154991.710289
307500.965293,6119,155208.909593
397445.482637,6152,155431.413355
140921.837503,6269,155655.175556
334787.771924,6724,155894.148146
-18141.658669,7307,156154.776502
20497.409261,6492,156387.144822
483003.240955,6792,156632.094948
191271.579432,6386,156860.777867
230413.083919,6096,157076.820952
-9829.659089,6579,157310.57527
316174.454829,6546,157546.428334
351994.934629,6443,157776.031389
351475.78472,8375,158075.764651
154881.894118,6622,158311.194713
127613.448106,5718,158517.845561
178985.315553,6207,158740.026817
800735.034169,6664,158976.276005
221461.637673,4881,159149.69778
191103.828616,5580,159348.281444
870216.192082,7632,159617.074694
484077.230617,7544,159885.004308
-14240.889056,6946,160132.15025
298520.413601,6879,160373.147767
196723.198471,6284,160595.6867
682776.884199,6080,160811.91095
147562.677832,6080,161024.498298
337957.814951,6612,161259.05262
130190.62791,6647,161490.477232
60980.011959,6257,161715.072838
141335.36751,5648,161911.083612
141540.657593,6966,162158.416471
1216596.966621,6864,162402.497243
-16708.869267,6764,162642.127599
-38177.85849,6027,162854.515063
139008.268491,6073,163071.059745
3883.759798,5817,163279.720398
129595.577342,6479,163510.11137
131405.14746,6149,163723.797
463202.011506,6338,163946.336465
180263.897826,6698,164181.432827
486795.950357,6592,164414.946017
743405.548173,7767,164688.678424
905759.626036,6024,164901.378775
147288.407685,7169,165151.556855
78103.042677,6503,165380.139026
174264.927868,6075,165594.130517
11221.679374,7282,165848.71988
523845.871027,6795,166086.429025
475711.120742,7468,166358.749964
129153.567197,6294,166593.044289
127966.607704,6073,166820.038465
183798.71796,6047,167030.188522
306181.043929,6773,167267.172467
