# {"t_start": 1703145662.2336435, "env_id": null} 
r,l,t
319586.26479,5271,299.796863
111042.457854,6433,664.332242
53719.492332,8131,1132.026264
195999.958484,7672,1578.980219
341037.755462,5827,1921.337233
215944.223177,4972,2217.191512
-53360.59878,4309,2470.660368
15080.111665,6864,2871.503311
221992.927438,7497,3306.838112
-7341.397683,9538,3841.920364
-2469.689131,10000,4402.21377
204136.857948,10000,4955.833899
146443.658074,7908,5403.177187
173004.868269,6756,5787.070138
111556.298374,4410,6030.475439
36433.600443,5175,6323.018987
66813.530739,8079,6772.931273
120844.098161,5248,7070.810548
226248.812078,10000,7618.199755
547944.561937,7480,8032.864738
324422.344281,7074,8428.802496
999694.169616,7076,8827.327234
1102847.393322,6251,9186.531922
836243.955665,4404,9446.069506
179729.516989,4667,9723.361244
797804.376336,4635,9988.207588
176560.289292,5944,10316.987948
69254.491466,5596,10630.254826
190862.949299,7755,11065.20941
24907.551567,8620,11537.201791
332957.765025,5564,11847.710323
485042.961877,9618,12368.798486
906458.484875,7806,12795.28236
637806.89693,6099,13135.188469
1340297.392661,5159,13428.337529
1233767.542121,6231,13776.249336
250523.04709,10000,14311.281687
367606.884656,9683,14846.861468
399357.284779,10000,15393.742711
216935.388927,10000,15934.593862
319825.47762,8694,16414.506428
128740.118049,8685,16887.900712
384221.942951,10000,17423.368371
-1629.668791,8830,17902.610099
361381.589201,6391,18251.687367
206323.817951,7263,18656.239954
128410.777486,4386,18904.045461
740533.082477,6294,19252.202079
758591.334082,5028,19535.885163
811869.80233,5084,19818.345664
1058923.29803,5100,20103.6308
477775.990457,4212,20338.225806
44915.260224,9269,20835.461893
187098.408326,9570,21347.603659
318399.896088,9824,21870.049583
429620.983099,10000,22413.206929
400406.935633,10000,22949.450035
806668.705119,7682,23373.999082
229119.005912,10000,23925.936896
72884.992426,8305,24386.573961
136260.958361,6000,24717.620095
372180.392965,9252,25229.145934
63493.200536,6122,25572.112007
-34479.679217,5478,25882.511934
225203.489551,6508,26247.535456
143904.447631,6645,26619.564059
153174.148251,6260,26976.88281
193279.297436,6061,27320.354822
562050.038797,6095,27668.631883
652546.266536,8421,28186.825374
-41964.00863,6242,28434.506955
-17463.449082,6759,28704.251075
326769.54335,7042,28984.757854
312320.693755,6589,29200.800182
333824.392775,6077,29403.766228
220880.925713,6414,29614.339866
287932.094106,5957,29811.574207
180527.545931,7004,30042.020288
-20848.768698,7642,30293.937635
130962.877958,6013,30489.643648
154737.177598,6572,30708.269708
691871.54044,6716,30932.129098
1000628.509348,7192,31203.235791
530997.441105,7449,31508.574524
12865.691829,6747,31786.337047
358350.965465,6101,32034.874007
1298312.275069,7248,32334.835838
315325.444159,6707,32612.488451
509752.581899,6829,32895.158213
677918.120372,5721,33133.783273
194468.118582,6341,33395.986811
149212.637392,6593,33669.973406
317089.093601,6965,33956.230166
390645.581729,6397,34222.201016
146328.950543,6254,34480.914622
-34503.34918,6136,34738.184447
1032928.280108,8097,35075.354617
191647.61832,5753,35315.23839
509981.574382,6168,35572.528235
342532.564809,6332,35836.61534
2403.192514,6360,36102.192496
530749.050419,7304,36406.438672
810362.446075,8318,36756.465462
136159.187207,6527,37033.231191
464437.611523,6590,37320.631005
-26449.919032,6620,37604.817264
311973.497332,6491,37886.091116
217369.376886,5556,38126.670682
343956.702639,6417,38409.196396
-28185.149386,5666,38654.615009
313817.384292,6405,38930.99341
-34492.458545,6223,39201.985322
195831.817624,6359,39478.098918
238940.037935,6854,39776.073391
348643.475524,6905,40075.704883
479177.930355,6079,40346.297093
136290.937215,6631,40634.952825
18930.031614,7146,40942.876264
360988.68537,6094,41205.21327
639275.396809,7223,41519.833075
185606.877282,6278,41793.921586
22675.431625,7192,42105.068341
171994.04848,6207,42375.145549
138913.557816,6899,42673.21975
352660.112393,6067,42937.310305
179363.378329,6946,43237.095766
21057.762462,5851,43490.410498
23625.599244,6572,43775.041377
151224.787153,6250,44046.133936
58483.200171,5118,44269.431333
33802.621573,6752,44561.154654
184362.278896,6064,44823.410634
360519.52477,6307,45097.231956
145645.167743,6484,45378.129792
-18494.669182,7133,45686.733952
362759.185192,6009,45948.035846
194553.068766,7002,46253.477042
74501.022132,7101,46562.745024
8863.419842,6733,46856.087416
-15485.189461,6603,47144.7643
237311.109197,6789,47440.044964
647933.167577,8131,47793.730927
129479.607328,6868,48094.140989
518099.040148,7593,48425.668606
503036.552182,6075,48692.779754
152728.427595,6604,48982.180684
481595.251068,6662,49274.370487
221467.407812,5525,49514.331093
532879.089884,6486,49794.739287
316209.414241,6414,50073.175844
22492.799376,6021,50334.034826
309163.304293,6841,50630.595904
397408.814607,6794,50926.373377
195512.198693,7305,51241.575584
659723.256322,7474,51565.830705
138621.007709,6571,51851.721167
305251.644823,7169,52163.368242
169485.248902,6256,52435.173087
524729.881382,5980,52697.63698
348655.425073,5327,52894.481859
313643.344622,6383,53129.030986
45631.951708,7482,53405.994102
529306.651043,7003,53661.990902
-23827.029154,6510,53899.365786
706914.655195,7865,54186.624268
561339.1797,6230,54415.434358
-5056.78934,7533,54691.991213
1141507.405431,7988,54995.059785
20771.709247,6299,55263.423411
659.869565,6168,55499.094969
167098.367328,7134,55769.779585
229523.086758,6612,56020.398675
190716.825897,7054,56288.615374
310680.197033,6314,56528.910775
12693.912119,6751,56785.680712
185619.436335,6661,57039.091649
329127.663779,7717,57331.92284
351153.735319,6031,57562.733272
319109.054173,5478,57771.421032
23071.772223,6569,58021.912471
142997.437901,6929,58285.245766
350548.995999,6037,58514.66717
311585.644193,6799,58774.877135
188880.545608,5721,58993.840116
7300.630942,6247,59232.912878
555004.739358,6176,59467.157407
153138.137076,6629,59719.094781
-33405.519146,6676,59973.967325
407614.332648,5369,60179.753083
315514.793101,5978,60407.405213
38562.570659,6954,60674.716416
355850.583901,6743,60932.083871
10974.521955,5971,61162.093356
181890.558201,5882,61386.846474
178125.225683,6219,61623.307102
134739.407628,6675,61876.67509
345568.525119,7327,62155.510986
301679.054002,6147,62387.680267
130082.037606,6272,62624.96605
547382.553128,5785,62843.879946
179039.117012,5545,63054.71126
218555.157555,5529,63266.475009
55745.92834,6419,63509.94221
357584.944953,7618,63797.310562
15680.401925,6576,64046.975355
134066.431252,6379,64289.480929
170164.777685,5651,64504.276011
181338.347979,6316,64744.075446
181377.005731,8050,65048.257368
694948.035769,7048,65314.135892
143347.36712,6459,65555.503335
19537.110847,6600,65802.956064
316356.253588,6169,66034.730654
492960.903719,6922,66293.459418
300331.543359,6525,66539.746522
349154.724708,6223,66771.828308
322928.504346,7371,67048.183584
338486.071534,7779,67340.463127
183289.828651,6373,67580.327588
294739.554465,6091,67808.274346
137315.138139,6712,68059.349591
200651.405988,7088,68324.247294
992772.018575,7046,68587.495088
191077.777032,6726,68839.423481
193426.07871,6643,69085.861397
347458.455027,6798,69345.321273
-19693.389083,6457,69588.139288
359675.844635,6676,69838.590233
24062.001712,6703,70086.89269
1077579.688753,7516,70367.484156
1542.012245,6503,70610.292572
173519.325906,6531,70854.208204
182582.178151,6796,71106.20916
14135.549581,6323,71343.20088
357686.145264,5928,71563.840515
30687.551521,7019,71828.65127
13975.462228,6804,72083.216501
-26123.429124,5384,72285.440972
174749.618385,6516,72528.219033
697938.56732,8409,72841.789805
345929.564995,6538,73085.643398
215866.718493,6602,73331.113692
-31693.278954,6665,73577.572258
9166.111544,5781,73792.345778
646174.866709,6197,74020.359088
1543707.208916,7846,74310.757253
-22109.238993,6628,74555.187911
187494.006496,6940,74811.318969
189696.548588,6403,75048.176369
355346.252807,7023,75307.402154
171420.868454,6200,75536.76789
2254.842163,5599,75744.465997
322884.703429,6897,75998.803387
568663.839521,6466,76237.491812
-37334.468785,6261,76467.999777
335749.16505,6502,76713.905866
184937.536632,5441,76914.877522
1031167.373379,6988,77174.299049
402518.893869,6316,77407.583735
353353.362477,6289,77638.032897
15574.669258,6580,77880.180146
347602.025089,6266,78109.389831
152438.917889,6364,78344.29018
495804.931439,7343,78615.697056
313445.214427,6622,78858.297098
306466.793854,6771,79107.320268
481126.740073,6508,79349.265588
525923.310634,5865,79572.674118
346898.215774,5693,79783.263237
26978.019304,6509,80022.991798
143007.437693,6787,80273.183721
-26287.798686,6371,80506.670728
321476.44319,6739,80752.201651
140029.607275,6574,80991.540248
349625.114947,7063,81249.099949
15208.702146,6683,81495.379701
365766.044712,6439,81728.719375
300217.124152,6670,81971.569135
174205.486168,6779,82217.229928
352613.18511,7702,82495.714228
204807.016438,7230,82757.240684
186009.438871,6350,82988.446703
141675.126812,5580,83191.843496
19554.839673,7717,83471.816593
149416.827836,6473,83706.423329
55962.542425,6458,83937.588377
356237.063237,6147,84160.134894
230185.698689,7114,84415.321469
2176.5202,5727,84624.148608
198883.847702,6589,84862.740106
179946.577276,6535,85099.161361
11197.269501,6366,85329.591912
364795.84244,6567,85566.535596
207257.235333,7339,85832.113221
-24880.408554,6560,86071.060155
155234.417519,6262,86297.468607
50240.282864,6162,86520.076101
138196.55767,6685,86758.388234
307796.753816,6822,87003.638532
165807.216667,7003,87254.144122
-43366.869039,6464,87487.104032
36880.371332,6698,87728.495943
144168.611444,6407,87956.66052
174196.07653,5728,88162.838254
1035528.019932,6830,88407.135513
329823.423137,6688,88647.307408
-36151.889106,7515,88918.308037
349186.483171,6791,89163.729384
14021.461969,6898,89409.597778
174012.536324,6210,89632.481959
348498.756726,6421,89863.475146
307905.36415,6439,90095.230649
174814.37884,6798,90339.230631
354464.691896,6322,90567.048043
406059.135255,6315,90796.010004
357075.80335,6539,91031.803054
351608.232654,6281,91256.799844
199057.888512,7117,91511.689768
882756.882195,7642,91787.353091
37555.721481,6664,92027.442599
472673.230339,6085,92244.81803
193523.098676,5941,92457.467119
518828.679189,7620,92730.250818
346566.804784,6742,92971.01877
392667.045854,6659,93208.507587
343675.326021,6747,93450.567832
136939.211089,7233,93708.23545
241306.057041,6625,93942.55962
177471.08642,6624,94177.086815
-22020.178968,7089,94428.473549
7062.001921,6611,94662.680513
190052.548437,7079,94916.759896
-29640.468483,5994,95130.399493
1078827.211008,7327,95389.418278
394869.216865,6115,95606.717516
336790.182573,5773,95811.832515
1010045.467596,7544,96077.813272
519259.970275,6872,96319.903746
183458.225817,6855,96561.505845
-28108.33874,5701,96763.674595
182078.576588,5953,96976.095191
531837.701207,7222,97231.559131
314854.504009,6364,97454.900097
689300.598606,5778,97658.61771
376702.716018,5693,97860.017488
345712.586848,6330,98082.619485
237915.499584,6435,98311.747781
231344.896857,6219,98532.404749
201817.00052,6457,98759.795445
351974.195201,6503,98989.371107
304864.094944,6721,99225.177551
57316.872615,6355,99450.159317
184575.379194,6026,99663.917237
63432.540155,6338,99888.118715
153736.038373,6015,100098.392368
891874.196879,6588,100330.45944
721528.930476,6255,100553.815503
9105.480787,5655,100753.029894
35817.041763,7004,100999.102392
161670.997531,7161,101251.014127
476445.469941,6688,101488.173231
307154.384416,6251,101707.22423
319068.233185,6350,101931.075484
143603.457253,6571,102161.438782
511735.80158,6224,102382.754854
-20301.599505,6205,102602.92024
180074.351905,6976,102847.63348
135870.367691,6525,103078.1004
30071.439076,5914,103284.955812
403533.333229,5517,103478.613228
185553.198856,6320,103701.175674
179890.658625,6507,103928.246071
316803.753845,6448,104154.180617
1031452.730897,7480,104417.185774
220230.035541,6720,104650.232318
480237.991087,8031,104933.631311
350533.762688,6548,105163.335872
707829.21706,6932,105405.724126
-18756.689395,5940,105614.281847
30600.371507,6678,105845.139724
41772.291398,6829,106082.203576
218222.087157,5948,106288.834583
147436.857725,6097,106503.309513
-20086.689187,6719,106736.386781
529607.681812,6658,106969.072623
186293.956469,6033,107180.889266
186343.451313,6357,107404.189527
361613.955332,6532,107633.051733
26392.56148,6842,107872.11927
222113.187319,6220,108088.999847
308088.175382,5934,108298.333283
171559.865718,5945,108507.405404
315290.576904,5996,108717.717302
308224.864584,6697,108951.856087
530910.000782,6024,109165.297079
201133.018324,7046,109412.336806
348981.732545,7014,109658.409039
362746.229702,6541,109890.369059
364164.332641,6612,110123.19687
13256.481015,6305,110346.97561
473625.18061,6671,110583.167402
322283.164136,6159,110811.845938
24716.621649,6094,111027.59026
396806.863904,6435,111257.117693
190957.438471,6576,111489.942806
302698.344494,6443,111721.222311
572785.900284,6216,111944.552104
17677.131282,5739,112149.851348
-28874.57912,6107,112368.092398
631557.967219,6376,112597.66729
203318.755544,6988,112849.050548
-37514.339299,5929,113056.025538
134481.907277,6199,113266.045289
312004.474203,6498,113488.591796
861800.101523,7120,113731.722557
243005.486185,6658,113956.394963
188319.108374,7293,114204.407809
420691.412418,8350,114493.178725
28024.982047,6709,114721.605112
297096.693585,7220,114970.680341
857404.682839,7610,115233.377255
36898.841721,5789,115432.147082
127272.758065,6031,115637.117748
353895.274702,6208,115854.049069
564314.789477,6916,116092.291485
364401.204498,6732,116323.024294
139661.997314,5870,116524.842764
11432.231944,6515,116754.2936
194395.155888,6344,116974.011739
178241.908278,6677,117205.194631
192473.855967,6586,117433.203154
348699.39307,6488,117659.480513
543571.320701,7221,117910.383708
16007.569958,6128,118121.948368
342169.841874,5854,118326.268113
512837.660908,6724,118563.808381
4270.600876,5858,118771.541301
394059.423239,6340,118994.619682
55127.932074,6122,119208.954612
162666.638471,5889,119418.281117
963447.108763,6767,119656.165675
-22851.8089,6664,119889.285075
565623.893101,6232,120108.286169
20849.40171,7009,120358.617136
186922.155906,6819,120599.196228
133445.648108,6213,120818.254065
193193.257723,6851,121063.463701
131693.367265,6021,121277.348503
