# {"t_start": 1703400718.0654259, "env_id": null} 
r,l,t
118785.0,6603,221.690302
105395.0,5638,391.314558
102952.0,6925,607.397616
152060.0,6690,819.084313
346503.0,7143,1049.742316
321178.0,6727,1268.739578
-10565.0,5400,1447.190654
-10750.0,6422,1656.832593
-12147.0,6249,1863.32172
324449.0,6741,2084.602032
371909.0,6702,2305.554711
320134.0,7889,2566.367741
164724.0,7470,2812.128817
549606.79,6198,3019.161589
55037.0,7532,3268.994055
213440.0,6493,3483.289622
136748.610191,10000,3815.496771
236769.610194,10000,4146.083104
104444.0,5581,4331.652976
818.0,5175,4503.68781
160444.519858,7612,4756.031882
-379.0,5913,4951.502736
113749.0,6258,5157.349502
-48868.0,6183,5360.845205
42627.0,6602,5578.735207
219034.790195,6641,5798.594078
-33808.389806,8544,6077.688781
410233.249889,8092,6341.858679
396592.639999,7763,6596.355875
506158.0,5420,6775.725452
-1659.0,5981,6970.650095
413592.400072,9653,7285.687708
234475.15986,7887,7539.976513
56595.519861,8128,7803.537166
17730.790221,7754,8056.315636
202689.0,5251,8226.931827
-33082.30011,7827,8481.755616
46559.0,7115,8712.633628
235030.730041,8478,8989.751012
332639.0,6742,9208.877603
13265.130053,9923,9529.852234
385891.159834,7400,9771.276764
33353.299854,8262,10040.550122
217265.180012,6235,10243.899605
30825.860053,7365,10482.617897
188134.770194,8502,10759.81068
194216.889987,5584,10941.106737
165617.0,6030,11138.05777
188613.700193,7200,11370.011024
338929.159874,7029,11598.427249
201283.619833,8680,11879.09163
49236.07,7060,12110.423757
211708.249832,6682,12327.232179
31013.400076,7427,12568.315067
39457.859749,9486,12875.907367
507730.269846,9041,13166.485671
681110.772508,7062,13395.846002
206934.769719,9940,13716.92406
391296.519889,7005,13943.094414
172688.950106,9046,14233.15439
23594.679694,9443,14536.984761
337841.310048,9726,14848.405437
65982.589859,7877,15103.083303
564567.069929,7274,15337.421686
51827.55035,7565,15579.201759
180952.090042,8020,15839.810166
29912.220384,6969,16063.851574
213737.949692,9229,16579.955637
221976.339861,7326,16818.140011
377188.70019,6737,17035.706174
353494.860053,7763,17286.160205
320360.310078,8343,17556.325516
355737.570236,7772,17806.909023
225202.609862,6999,18033.241332
532342.310048,9590,18341.412293
902003.479875,7249,18576.823122
244069.950051,10000,18898.844112
14087.039752,8954,19186.669592
281384.0,5792,19374.462047
389067.519862,6745,19591.865995
221106.430193,7744,19844.085913
31115.679696,8439,20116.101036
573790.189737,9213,20413.137602
63706.880198,7490,20654.002115
233787.069861,7831,20905.359911
147049.950055,8567,21182.829562
70246.130053,7995,21442.49404
223162.859696,8089,21703.110616
212729.059852,7441,21941.985741
854070.699861,7100,22171.513299
246916.22008,9121,22463.906736
382052.519889,6087,22659.781124
370655.039726,9689,22971.263874
228725.769697,8444,23242.659958
17571.60989,6831,23461.827276
366102.919803,8971,23753.718887
224842.60986,7179,23985.200665
354698.950386,8540,24260.039203
334780.679747,10000,24582.696082
235069.859689,8670,24864.50954
515406.769665,8958,25152.682181
193717.220385,9335,25451.492707
184869.840181,6272,25655.956266
227807.880217,7547,25900.074935
191946.229745,7948,26157.674222
18925.639738,9639,26469.171413
367041.249857,8470,26742.725551
563903.770054,8166,27005.983088
220660.949762,8860,27293.580612
29831.040053,8666,27574.393003
226174.949719,9438,27878.967273
230229.859747,8262,28150.341934
185211.179737,7698,28401.930907
356870.679711,8433,28676.753416
230141.870206,7497,28919.714864
554814.339857,7124,29151.364348
637540.039718,7467,29392.89061
415656.459709,8934,29685.132485
135474.309773,6467,29900.803062
175025.760107,8051,30163.260818
230036.329848,6832,30387.853322
187398.270075,7514,30633.458503
203188.179737,10000,30961.177499
319429.90971,9268,31264.466519
179367.129693,9821,31587.544764
191361.179683,8736,31876.581504
555217.589692,10000,32203.330245
367814.129666,8414,32478.72635
63145.860388,9704,32798.45179
184454.340167,6881,33026.083588
682952.540093,7786,33284.5139
353924.10236,7133,33521.710233
60399.339834,7039,33756.998585
184802.039722,8086,34025.672271
226279.870029,8296,34301.765129
4709.610165,7459,34554.494085
190454.039749,8916,34855.231296
203385.429834,6658,35108.003852
9653.790216,6313,35337.387811
66113.759846,7769,35735.40686
417484.400385,9624,36124.326673
521907.789885,6575,36355.81811
202230.950366,8726,36664.51806
232929.859858,7870,36941.911209
152564.130447,7104,37192.321991
212464.219719,8662,37497.298302
4173.130025,9258,37824.874763
66659.640242,7892,38103.214251
224469.620174,7183,38358.342674
201676.570065,6027,38573.653253
151512.820073,9429,38905.438609
347685.339887,6884,39149.851105
189561.920206,7808,39424.947527
221975.129694,8807,39736.743767
566243.130109,8337,40031.479015
192792.609861,7068,40282.112368
201066.729713,9483,40616.64982
896066.179831,6652,40851.648694
402149.519889,6892,41098.308001
228527.700217,7975,41380.512397
245660.640036,10000,41732.902355
47643.519829,6711,41972.267564
255607.039694,8415,42270.422027
527620.550092,9959,42624.039726
140078.159861,8155,42915.294104
529289.399743,9138,43240.173605
203555.55025,9971,43588.80297
189882.700222,6878,43834.375103
66132.129694,8389,44131.229417
185952.640092,7009,44379.770859
207313.860026,8574,44681.238602
-19221.480142,6936,44928.991153
213827.670208,7846,45206.921253
399936.340219,5847,45414.4937
201958.640022,8527,45716.777395
184556.039722,9106,46037.263078
231262.160192,7928,46318.201561
-25337.409884,8582,46623.290391
181789.660178,7538,46889.99335
229040.639999,7198,47148.455839
240960.350174,7628,47419.569905
205761.400081,7823,47696.692592
366050.309743,10000,48050.152368
22108.400622,7854,48330.033853
351482.13018,7592,48600.339217
234231.300191,8868,48914.866946
352706.609873,7402,49177.059289
234923.749874,6763,49417.066133
-43655.0,6135,49631.024543
411869.429868,8719,49939.333869
341308.399862,8693,50246.621324
58569.250193,7635,50517.443054
73819.789883,7699,50790.599288
234006.040365,7331,51053.096203
230352.039686,8405,51349.606489
351150.12972,7054,51602.562216
188376.089735,9297,51932.853928
356238.03974,9721,52275.5459
395515.880217,6845,52518.858204
194992.220081,8850,52833.203187
233107.700161,7493,53098.53735
201118.459711,9687,53442.230174
240972.139725,8748,53752.268749
395570.160192,7544,54019.324996
224974.96986,6891,54260.747651
-1727.520152,7552,54530.050503
230796.610194,7935,54812.310097
357962.769737,8308,55106.93436
345524.700193,7197,55360.214538
192061.950238,10000,55715.208482
384821.42986,6920,55960.146059
231538.750205,7496,56225.951728
574807.400078,6955,56473.111672
345270.220079,9908,56823.198181
21510.039694,7897,57101.346784
-28448.630294,8749,57412.926044
237608.399771,9105,57736.147605
52406.609861,6121,57953.939034
534323.789884,6607,58197.667748
234363.089705,9703,58542.241205
3453.659996,5967,58755.388539
