eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
4489.0,351972.769534,96,0.0028020223,0.16601562,5.823723,-0.016883701,67.94099,-0.03055751323699951,38,4864,197.79703672100732,19456
4489.0,351972.769534,101,0.0018935424,0.10888672,5.8075504,-0.013192719,65.72347,0.018840909004211426,39,4992,202.84056381600385,19968
4782.5,176652.663491,101,0.00070176175,0.021972656,5.79555,0.0009394637,53.344364,0.0034441351890563965,40,5120,207.8670846199966,20480
4782.5,176652.663491,72,0.0022286517,0.13867188,5.7868657,-0.01805064,65.83536,0.025438129901885986,41,5248,214.8812462299975,20992
4964.333333333333,132258.475404,68,0.0014389636,0.07910156,5.7564154,-0.0025493512,55.73822,0.011540889739990234,42,5376,222.3111636130052,21504
4964.333333333333,132258.475404,61,0.002430902,0.13623047,5.7638073,-0.017046846,69.20102,-0.00669550895690918,43,5504,230.68943480600137,22016
4964.333333333333,132258.475404,61,0.0026119947,0.16845703,5.7368054,-0.014276286,59.0738,-0.02515697479248047,44,5632,239.06409699699725,22528
4964.333333333333,132258.475404,74,0.0026477443,0.15332031,5.72358,-0.013360986,55.64643,0.031010031700134277,45,5760,245.93498616600118,23040
4964.333333333333,132258.475404,84,0.0047515742,0.28320312,5.7332516,-0.02354703,58.993313,0.04445260763168335,46,5888,251.9724223480007,23552
4964.333333333333,132258.475404,83,0.002721832,0.15478516,5.70363,-0.015427379,52.94193,0.06182897090911865,47,6016,258.0976628549979,24064
4964.333333333333,132258.475404,84,0.0009007129,0.030761719,5.7044973,-0.0070816497,63.69303,0.06117141246795654,48,6144,264.18089620200044,24576
4964.333333333333,132258.475404,84,0.0018114854,0.099121094,5.6647587,-0.017123811,59.27645,0.03956246376037598,49,6272,270.2396351960051,25088
4964.333333333333,132258.475404,86,0.0021587596,0.13867188,5.6670647,-0.014644321,45.55147,-0.009561896324157715,50,6400,276.13394354699994,25600
4964.333333333333,132258.475404,76,0.0025264982,0.12988281,5.6400957,-0.015397672,54.130085,0.06840306520462036,51,6528,282.8521678469988,26112
4964.333333333333,132258.475404,84,0.0038848608,0.23291016,5.6238465,-0.016835261,61.611217,0.09683507680892944,52,6656,288.9394878239982,26624
4964.333333333333,132258.475404,86,0.0037825801,0.21289062,5.592497,-0.017620275,53.77619,0.01954859495162964,53,6784,294.83924918800767,27136
4964.333333333333,132258.475404,83,0.0010533463,0.060058594,5.581651,-0.0071464637,50.59581,0.022367358207702637,54,6912,300.970334209007,27648
4964.333333333333,132258.475404,83,0.0010868504,0.06201172,5.5360384,-0.010407435,51.650806,0.11622297763824463,55,7040,307.09659718500916,28160
5485.25,95711.94399425,86,0.0006373215,0.020507812,5.5417204,-0.0044747386,61.602795,0.009412527084350586,56,7168,313.00507449300494,28672
5485.25,95711.94399425,84,0.002517451,0.14990234,5.52507,-0.017188532,57.2357,0.025723040103912354,57,7296,319.0392605300003,29184
5485.25,95711.94399425,84,0.0031721923,0.17871094,5.4946227,-0.015939027,56.150272,-0.022816896438598633,58,7424,325.08900120200997,29696
5485.25,95711.94399425,85,0.004545042,0.26464844,5.4259486,-0.019278662,51.526756,0.08868497610092163,59,7552,331.07331151500694,30208
5485.25,95711.94399425,84,0.0018731444,0.11816406,5.452388,-0.0030427228,49.60358,0.02979522943496704,60,7680,337.1088053560088,30720
5485.25,95711.94399425,82,0.0011071858,0.05078125,5.397264,-0.012287328,47.673286,-0.046851158142089844,61,7808,343.315539290008,31232
5485.25,95711.94399425,84,0.004875349,0.265625,5.366289,-0.01569904,51.03693,0.09566676616668701,62,7936,349.34051518701017,31744
5485.25,95711.94399425,85,0.0052162404,0.27197266,5.3512325,-0.017267892,61.130684,0.02929973602294922,63,8064,355.3067075040017,32256
5485.25,95711.94399425,88,0.0053977063,0.28515625,5.296092,-0.014761247,48.201477,0.016225695610046387,64,8192,361.07436405299813,32768
5485.25,95711.94399425,85,0.0031248517,0.17871094,5.303627,-0.009803651,49.9657,-0.051000118255615234,65,8320,367.0839234849991,33280
5485.25,95711.94399425,85,0.0055517172,0.2734375,5.2902265,-0.013582665,43.505688,0.038417279720306396,66,8448,373.1075068390055,33792
5485.25,95711.94399425,86,0.0014486256,0.08544922,5.3407426,-0.0050420775,46.377213,0.04223877191543579,67,8576,379.0165148960077,34304
5485.25,95711.94399425,85,0.004611965,0.24853516,5.311034,-0.018466368,52.924885,-0.05101621150970459,68,8704,384.99460695000016,34816
5485.25,95711.94399425,86,0.0037981987,0.19677734,5.3274755,-0.011342581,58.588333,-0.02018904685974121,69,8832,390.88938182800484,35328
5485.25,95711.94399425,84,0.0021963357,0.15039062,5.336803,-0.011943128,47.380074,0.053089439868927,70,8960,396.937679278999,35840
5485.25,95711.94399425,85,0.003189532,0.17871094,5.318608,-0.011339674,47.455513,0.1436576247215271,71,9088,402.9476707849972,36352
5485.25,95711.94399425,78,0.003827801,0.20751953,5.303466,-0.015497206,54.881176,0.05305051803588867,72,9216,409.4420295650052,36864
5485.25,95711.94399425,86,0.00409461,0.2553711,5.2924056,-0.009917816,50.91109,0.009961545467376709,73,9344,415.3638066470012,37376
5485.25,95711.94399425,83,0.004781395,0.2836914,5.2930374,-0.016211506,39.690956,0.014581143856048584,74,9472,421.5125403179991,37888
5485.25,95711.94399425,83,0.004762122,0.24804688,5.250595,-0.01559649,36.54391,0.11546528339385986,75,9600,427.6713406970084,38400
5485.25,95711.94399425,84,0.0039387373,0.20898438,5.212677,-0.013996575,42.3323,-0.08396780490875244,76,9728,433.7657792210084,38912
5485.25,95711.94399425,86,0.0017520653,0.09814453,5.220041,-0.010683214,47.052837,0.03221315145492554,77,9856,439.66680469700077,39424
5485.25,95711.94399425,86,0.003554761,0.21484375,5.214828,-0.015780611,40.26562,0.06477802991867065,78,9984,445.564239682004,39936
5376.0,154458.78324219998,82,0.0031546296,0.15771484,5.2368436,0.0040059765,44.62546,0.06219923496246338,79,10112,451.7881301340094,40448
5435.5,156046.76339866666,83,0.0006300197,0.0107421875,5.2217245,-0.003791891,55.77837,0.025927305221557617,80,10240,457.8910036699963,40960
5435.5,156046.76339866666,83,0.004975736,0.27490234,5.2476535,-0.019659169,50.907333,-0.03796243667602539,81,10368,464.0069268189982,41472
5435.5,156046.76339866666,84,0.0038127396,0.19677734,5.252426,-0.013751949,64.491264,-0.013887763023376465,82,10496,470.0421179410041,41984
5435.5,156046.76339866666,85,0.0008643303,0.026855469,5.2426906,-0.004198989,50.55784,-0.0001672506332397461,83,10624,476.04125093400944,42496
5435.5,156046.76339866666,84,0.00058657373,0.022460938,5.249795,-0.006479129,39.074287,0.07403761148452759,84,10752,482.12265712300723,43008
5435.5,156046.76339866666,83,0.004337387,0.23291016,5.2556047,-0.016802931,46.61997,0.07521229982376099,85,10880,488.2343351150048,43520
5435.5,156046.76339866666,84,0.0033543282,0.20117188,5.2713914,-0.006778678,42.40896,-0.0929187536239624,86,11008,494.2708272590098,44032
5481.857142857143,138721.43420699998,83,0.00073658384,0.026367188,5.2737136,-0.0019217156,44.220783,0.08024483919143677,87,11136,500.4128480329964,44544
5481.857142857143,138721.43420699998,83,0.0020298576,0.12060547,5.2339463,-0.014843277,50.207184,0.14162927865982056,88,11264,506.56195126799867,45056
5481.857142857143,138721.43420699998,86,0.005091547,0.26757812,5.243637,-0.016118694,46.359806,-0.029297590255737305,89,11392,512.4682638130034,45568
5481.857142857143,138721.43420699998,85,0.0039368942,0.19580078,5.229849,-0.015041154,41.115364,0.04056739807128906,90,11520,518.4697110650013,46080
5481.857142857143,138721.43420699998,86,0.0017271382,0.10644531,5.278191,-0.007817409,48.739044,0.0727354884147644,91,11648,524.3712042539992,46592
5481.857142857143,138721.43420699998,76,0.002237363,0.10546875,5.261122,-0.008902018,40.61468,0.13686811923980713,92,11776,531.0688719519967,47104
5481.857142857143,138721.43420699998,82,0.005560884,0.28320312,5.2045574,-0.017029472,41.546207,0.14127743244171143,93,11904,537.2800849339983,47616
5481.857142857143,138721.43420699998,83,0.0012650492,0.068847656,5.2030263,-0.007143403,31.566883,0.07311427593231201,94,12032,543.4467623259989,48128
5481.857142857143,138721.43420699998,82,0.007990757,0.32763672,5.161671,-0.021057304,41.945362,0.21949660778045654,95,12160,549.6676963640057,48640
5481.857142857143,138721.43420699998,87,0.0063808947,0.32617188,5.1641245,-0.017516863,48.325054,-0.07316040992736816,96,12288,555.5508397140075,49152
5481.857142857143,138721.43420699998,84,0.0027892059,0.17675781,5.1635027,-0.0034621258,34.42293,0.01722341775894165,97,12416,561.6421345819981,49664
5481.857142857143,138721.43420699998,82,0.0012567607,0.05908203,5.152851,-0.010142157,41.61836,0.06710851192474365,98,12544,567.822014357007,50176
5481.857142857143,138721.43420699998,85,0.001664823,0.09863281,5.181356,-0.014348656,42.440323,0.04300624132156372,99,12672,573.8306195100013,50688
5508.0,104987.11152087501,83,0.001049304,0.05078125,5.105892,0.0015630446,40.0548,0.0035110116004943848,100,12800,579.9746870480012,51200
5508.0,104987.11152087501,86,0.0020716095,0.13134766,5.0710616,-0.013554476,41.703175,0.04215294122695923,101,12928,585.9103740779974,51712
