# {"t_start": 1703043699.8218703, "env_id": null} 
r,l,t
351972.769534,4489,183.822018
163986.664181,5733,456.239876
196383.976004,6377,761.806665
271868.207187,5341,1020.105293
639158.211802,4937,1259.589504
431956.117912,3916,1452.242067
1105834.024085,4446,1669.983463
681469.445947,4213,1877.331553
663635.662063,4038,2075.599137
902956.832215,3980,2270.527438
656328.674743,4146,2476.535236
435769.868404,3677,2656.056667
-43010.981935,4521,2879.302472
272662.783558,3700,3060.580819
1113265.605391,3615,3237.142066
649201.527764,3722,3424.302658
693985.438467,3793,3599.685135
1103106.806343,3845,3775.883094
92888.267532,3869,3953.085374
130235.436677,4813,4169.119847
89151.620091,5577,4414.456489
337755.602353,7596,4751.174512
530987.991064,6473,5044.317505
127733.017196,5182,5281.771621
506123.377047,4255,5481.840665
934507.303255,3901,5663.704814
967061.741846,4762,5884.348936
566728.837128,4123,6079.426914
290040.652841,3976,6263.344228
180846.109815,10000,6713.874522
243649.164561,4939,6932.402905
379966.123953,5883,7196.214594
535812.961405,7336,7532.511497
761820.045389,8600,7923.240644
184574.108164,7497,8280.820833
458744.110243,5143,8557.355496
954530.060331,5128,8811.694098
1118765.469311,4366,9031.43081
837851.757103,5188,9288.33102
665469.697924,4472,9513.224637
620142.376571,4701,9748.6401
950724.93316,10000,10229.032208
947774.519822,4370,10444.617173
963861.16203,4367,10670.971979
733642.874591,4044,10875.327745
560275.777704,5513,11149.081761
426877.511408,4508,11373.140827
581406.526771,4285,11587.668697
411995.623069,10000,12071.106483
442047.811714,4027,12266.835498
362745.851194,5176,12519.419685
851478.923869,6914,12857.920698
570047.518171,4507,13079.518522
-107653.609198,4433,13295.783778
142932.166498,6944,13632.809683
125258.948587,4533,13852.379231
1562230.508743,4684,14084.676701
319767.091174,3957,14280.462633
788973.905646,4280,14493.949436
1228884.124973,4226,14703.522433
479688.280442,3794,14892.368431
463748.868774,3978,15090.213509
642594.364491,3890,15282.756472
110825.987097,3960,15480.073602
1082293.207455,8737,15906.793287
385880.893594,5944,16195.539472
642765.987354,4451,16414.157566
295080.96075,4523,16637.623746
1153620.035429,4091,16840.721939
640380.936986,4335,17056.001606
244727.655558,5102,17307.078292
262391.605837,4939,17549.163055
564982.75774,4409,17769.18359
1268211.366219,4540,17987.414109
580614.892252,4623,18212.097938
808121.555238,4391,18428.964942
317594.63322,4175,18630.064803
104675.522086,4386,18846.950368
387941.500349,5436,19113.608822
547211.20841,3848,19303.993254
396533.420324,3986,19501.100218
525639.058848,4299,19712.812447
955300.148299,4704,19941.9599
527710.66987,3872,20130.518876
612909.496289,3951,20324.613718
826369.778938,4083,20524.05636
840206.921695,4138,20725.957535
686873.547071,4511,20947.402791
894332.519614,3614,21125.529986
470691.089734,4177,21332.115431
65046.606808,4212,21539.853254
320826.912124,4226,21746.62725
461857.039225,4377,21962.798812
658096.247689,3685,22144.91872
308396.002557,4109,22346.155851
651888.094577,3729,22528.73845
862560.695823,4201,22734.785501
751276.465369,4540,22955.850643
68617.847383,4302,23168.23174
970962.200068,4612,23393.689131
453945.337687,4275,23603.254714
597420.449029,4739,23838.794423
1320181.314265,4039,24035.997856
576537.757867,4069,24328.410999
900779.429283,4237,24477.974172
623370.961294,4392,24633.978459
580567.886351,4340,24786.421049
852065.797491,4145,24932.940184
438490.879574,4512,25090.143389
1027415.012303,4258,25240.431481
807083.741996,4112,25384.924448
494425.960155,4620,25546.629808
638795.416975,4531,25705.036216
958164.611751,4415,25860.554717
1306855.19698,4450,26017.212818
928259.432071,4558,26178.085751
400882.399858,3949,26317.130474
544273.048039,4697,26483.178021
653032.447584,4111,26628.137934
413935.09938,3839,26763.757658
107916.358523,4171,26909.981729
605998.468185,4407,27064.56163
1226167.52323,4232,27212.391764
331874.160384,4006,27352.537741
1097287.884044,4427,27507.645133
493740.62021,4158,27654.388277
1070218.92881,4618,27816.923759
-96651.799481,3887,27954.632503
485791.231246,4175,28101.872984
603446.538817,4847,28270.874525
960944.899014,4090,28414.646738
321737.461554,3976,28554.085682
294473.394186,4132,28701.264943
909374.583526,3941,28839.95363
942427.922594,4607,29001.793211
765668.204849,4596,29163.902963
433530.210828,4285,29315.622693
644190.455547,3993,29457.467113
508029.109873,4275,29606.656857
1113137.536076,3974,29746.429588
447444.720677,4097,29891.695994
446224.547953,4108,30035.840625
1128171.84091,4807,30204.680372
569624.638124,4660,30367.480793
320248.912693,4490,30525.991854
1137920.839159,4239,30675.580786
466616.36121,4453,30831.919849
1281615.9316,4071,30976.045675
600050.447913,4389,31132.980935
1004634.420407,4219,31283.202864
904074.011626,4492,31441.784215
460622.363389,3867,31577.019585
1124151.097759,4168,31725.139159
624648.329041,4624,31888.280546
796475.553812,4030,32031.254384
491091.857163,4144,32176.842169
324413.565016,3443,32298.136699
680117.944139,4306,32449.188132
907658.8599,4156,32594.309117
599587.60423,4115,32741.357285
580161.187997,4633,32903.955498
956083.38384,4029,33045.924644
396432.550123,3807,33179.625209
436045.093384,4793,33348.359365
1128800.943795,4238,33498.390851
277175.153862,3935,33636.785602
672810.425604,3804,33770.813138
632934.717177,4259,33920.591239
275115.742148,4009,34063.305698
426044.689047,4178,34211.036274
376423.600811,4599,34372.467602
1769694.969189,4469,34529.169099
796451.13658,4869,34699.875887
429888.310046,4679,34863.592285
799976.542225,3896,35000.86652
698116.65691,3779,35134.642589
642897.19816,4469,35291.826976
523409.389944,4070,35435.91691
490357.780761,4140,35581.860621
663880.448734,4386,35737.067684
634579.543583,3873,35872.29544
105198.188395,4456,36029.585835
562513.988343,4425,36184.956678
604220.114843,3943,36324.904269
237518.293021,3913,36462.687107
124871.987436,4237,36611.701971
146845.376864,4309,36762.804402
261642.715148,4239,36911.935045
519560.780365,4403,37066.324112
1283665.692327,4523,37227.310928
510817.925597,4034,37370.647087
1115098.845498,3873,37506.649281
946282.878836,3896,37644.825381
757714.046453,4990,37819.226573
163133.447872,3936,37958.547081
776406.78634,4012,38100.254194
888897.280423,3988,38240.331419
73412.266901,3902,38378.626068
1487388.298088,3897,38515.381019
259618.354189,4481,38674.008503
457887.622307,4248,38822.734495
1004854.88517,3811,38957.620342
461549.60192,4242,39107.271013
1036079.73817,4367,39262.069566
714403.616939,3833,39397.260466
740582.335386,4653,39561.979444
785338.800905,3828,39697.52953
611347.928192,3978,39837.304408
1305058.203074,4983,40012.745543
422643.870278,3955,40151.724787
398893.331365,4325,40303.217547
613958.665614,3930,40442.187884
571479.186157,4158,40589.068461
890187.821151,4865,40761.033756
791184.534552,4334,40913.398911
100584.59789,4033,41056.229013
144667.798624,3908,41194.377749
406224.919958,4356,41346.742167
818932.540751,4396,41502.266904
600336.12746,4383,41655.452991
1027254.030313,4156,41802.825974
973197.780582,4139,41949.206505
287279.264285,4017,42091.111552
469559.266159,4287,42242.934499
1150668.395739,4201,42390.420302
627541.367006,4339,42544.0178
570758.557238,3969,42684.799861
434749.752517,4701,42848.950827
495131.839461,4306,43002.038358
498127.4391,4296,43154.094122
461848.660461,4017,43294.862589
656223.367043,4493,43453.308583
444179.432573,4498,43611.248904
1184560.46931,4017,43752.872103
737732.543939,3894,43890.175519
590035.969357,4001,44031.689305
986446.845131,4072,44174.156415
317961.525491,4120,44318.568867
280742.932232,3904,44455.040478
108610.078321,3852,44589.968256
282202.924713,4187,44738.625864
667676.673488,3815,44872.939141
839950.404173,3958,45013.070557
1061511.855539,4061,45156.061502
1267385.285367,4096,45300.373745
615406.026253,3875,45437.009079
487545.457747,3957,45576.971986
289637.385705,4748,45749.778094
277153.601539,3920,45888.468394
77114.016741,4291,46041.727936
440701.492716,4638,46206.985897
412329.339484,3866,46346.167454
566060.707531,4021,46489.406935
807629.99569,4428,46646.615656
619615.225897,4022,46789.259874
944038.960211,3973,46930.994833
616994.410019,4799,47104.261678
636803.826885,4232,47259.094122
312391.495973,4757,47433.113708
298804.833171,4019,47580.961223
439486.550246,4588,47750.646698
935135.209884,4623,47923.018763
