# {"t_start": 1703043699.8550057, "env_id": null} 
r,l,t
43470.09923,5328,218.951827
34769.459057,5760,497.978758
80054.278343,6738,821.451831
130859.534144,4771,1052.208028
759297.261757,4952,1294.693281
977861.019179,4104,1495.428046
1300305.572771,4663,1723.901524
145089.61652,4026,1921.103705
153019.675883,3499,2093.168829
528080.104849,4464,2312.79816
438562.288158,4136,2516.41644
280143.303102,3598,2693.315277
100448.777908,3758,2878.786456
640543.412274,4892,3117.803073
228287.172481,4031,3313.675445
1771951.720438,3636,3494.17298
161280.665506,3585,3659.646336
688609.336194,4255,3853.302768
85897.665969,4239,4047.512594
80697.868789,4922,4268.237703
71589.357658,4249,4453.761879
19012.059733,6489,4739.737965
-97949.32962,5655,4996.192192
267820.243583,4175,5186.303276
55142.048142,5551,5445.995146
82409.497302,4410,5651.487078
460159.257866,3999,5836.886295
71384.679655,5375,6087.854319
613831.576935,5176,6328.555068
-15587.127781,10000,6776.659008
122175.877412,10000,7224.798328
261279.723673,5805,7485.301909
1226998.715922,9262,7910.86307
309530.604639,8582,8339.658243
1448151.213789,4550,8566.698233
777974.055272,4771,8804.649708
764375.194434,4277,9019.174607
1254759.404844,5308,9281.913126
617333.278339,4482,9510.260933
279517.163372,5061,9761.884954
721326.006834,5839,10045.383137
248939.685213,7184,10391.04489
626667.058078,4475,10623.018928
940162.071344,4523,10849.578236
1306897.484977,4506,11072.395266
933187.701307,5979,11372.175285
1055617.058609,4360,11588.90367
860273.494578,7294,11940.863827
497298.239553,6515,12259.287564
549012.681134,6592,12578.527584
1230372.568246,6414,12895.399515
1025290.339078,7332,13252.986895
244049.857613,5125,13502.433957
832337.630625,8003,13890.407253
304689.403851,4440,14111.01953
118012.245514,4519,14333.981073
611295.837234,4231,14546.944984
621314.739066,4550,14772.462017
803216.15163,4108,14976.324195
912398.631024,4167,15184.414979
936666.562636,4434,15403.541583
912438.122769,4191,15610.712391
1074904.138945,4371,15821.661038
808212.533315,4076,16021.846417
200840.446062,7918,16408.392055
91740.10701,4846,16649.181197
610662.54841,4062,16849.123565
948723.549799,4545,17075.288498
545049.21996,4747,17308.161156
897058.434773,6231,17615.81291
701984.955443,8003,18006.554031
1038969.188384,5209,18260.846019
623491.247205,3814,18447.505841
647680.597989,4692,18674.200082
622703.310504,4786,18910.709235
651062.293953,4464,19132.167165
847436.620567,4297,19342.538909
1040026.144038,3719,19526.226319
825279.461171,3664,19706.929487
621667.358407,4890,19944.05424
951467.988823,3870,20132.412945
599789.153691,4285,20344.182296
433322.48076,4026,20539.297648
795348.163883,4817,20776.930156
741029.804158,4065,20977.743762
460688.29994,4870,21217.389454
942775.225803,4137,21420.497491
194731.79239,4058,21621.361754
1161693.769126,3694,21803.08056
274539.771065,3953,21995.669919
638630.817711,4163,22201.002999
418048.158689,4451,22420.615848
276411.253833,4007,22616.086889
551784.918675,3754,22799.552791
117107.077587,4140,23004.171114
474262.492576,4130,23205.223524
473514.840085,4227,23412.882412
444855.170204,4028,23612.316605
1478138.080265,4324,23822.70945
483980.568596,3899,24015.365635
878123.332252,3940,24323.558655
905217.38894,3999,24464.554315
113439.876475,4472,24623.236955
894727.011222,4432,24778.866181
625172.887418,4166,24926.891062
297589.173622,4743,25092.266758
865164.014467,3970,25232.478908
389455.040161,3890,25369.064117
733327.804815,4531,25526.727463
401796.651172,4321,25678.324221
94798.118706,4219,25825.92989
467620.790581,4325,25978.982924
838544.967827,3885,26116.011082
985110.322247,4397,26270.887724
451932.928585,4438,26428.438572
912740.090687,4618,26591.079691
949389.342444,4574,26752.672988
566761.468106,4234,26900.767587
659347.814356,3873,27036.986652
991182.550774,3967,27175.417498
125175.358296,4143,27319.895308
149951.759161,3859,27455.420527
783085.053341,4026,27596.753905
469850.478469,3808,27731.889298
988440.180442,4002,27873.347318
973587.011474,4453,28029.490294
455645.810423,3940,28168.94486
441018.692124,4646,28331.449257
874188.581586,4783,28498.182727
608842.566049,4329,28651.797031
325766.353,3903,28789.111607
635875.067755,4509,28948.501613
587760.548686,4670,29113.715265
128351.89477,3805,29247.497573
498617.276681,4010,29389.399094
813649.761964,4000,29529.815067
431332.392207,4393,29684.335089
865057.532902,4010,29825.266957
492760.496287,3904,29964.442583
387945.891001,4029,30105.458492
932074.972267,4099,30249.443294
839860.765842,3915,30386.298054
717597.403072,4192,30533.832707
790787.231605,4030,30676.25758
1307285.231085,4115,30820.549669
1150534.356239,4682,30986.569471
720202.763982,4543,31149.597083
268125.714972,4028,31292.345329
846308.813813,3823,31426.791326
224043.395204,4628,31589.594951
1068718.238606,4599,31753.612691
252225.884628,4748,31920.831488
740278.725018,4348,32074.065339
103215.466282,4257,32224.010633
571551.838093,4400,32378.666964
659122.447621,4166,32524.675912
1218378.827203,4348,32679.05232
557174.966569,4230,32827.449557
576806.31694,4611,32990.351166
-7685.121592,4420,33146.047368
942928.536626,3958,33284.749367
920591.760882,4766,33452.683034
388098.451662,4718,33618.805154
653052.5873,4226,33767.850748
614611.437572,4034,33909.548536
675715.603705,4143,34057.007891
568760.835305,3920,34195.483046
755811.231585,4337,34347.16848
966260.450993,4409,34502.111639
312815.80325,4034,34643.507764
689294.638684,4198,34790.838793
174053.155527,3933,34929.439955
600137.798637,4562,35090.142732
442933.790407,4634,35253.691233
290055.164341,3994,35394.594918
415910.301054,4678,35559.209363
448031.201844,4231,35709.397696
229004.676168,4852,35880.07766
700832.30734,4180,36026.863271
788841.345792,4637,36190.06029
299071.67377,3998,36331.788759
157090.386216,3964,36471.310936
-10318.010473,3802,36604.769316
1450150.031188,4060,36746.301295
268757.684132,4367,36900.314451
1116617.409276,4050,37042.497004
230837.784841,4227,37191.684174
1087985.315248,3976,37333.96545
336250.064972,4220,37483.025639
1163681.315301,4098,37627.596915
610584.805051,4261,37777.240006
964441.159766,4422,37933.065278
427287.504282,4151,38080.17914
264795.132348,4672,38244.037482
649974.606463,4069,38388.385118
988987.889923,4465,38546.519562
225613.283648,4313,38697.582046
393132.670204,4141,38843.185518
656400.878899,4037,38986.132541
