eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,64,4.3521987e-07,0.0,6.148468,-0.00034589594,4.0291988e-07,-9.51390552520752,1,128,7.88389686201117,512
nan,nan,73,1.255584e-06,0.0,6.148467,-0.0005638152,0.008110635,0.00020444393157958984,2,256,14.818303971012938,1024
nan,nan,60,9.082337e-06,0.0,6.148449,-0.0018024296,0.3059962,-1.811981201171875e-05,3,384,23.26123504100542,1536
nan,nan,57,3.0415084e-05,0.0,6.1483707,-0.0026749524,1.3187475,0.0001761913299560547,4,512,32.219807375004166,2048
nan,nan,49,6.7285524e-05,0.0,6.1481304,-0.0026894326,3.075206,0.0004813671112060547,5,640,42.50438592200226,2560
nan,nan,50,0.00011016841,0.0,6.1477456,-0.005779802,0.07498421,0.008246302604675293,6,768,52.57692830100132,3072
nan,nan,62,0.0003258628,0.0,6.1463385,-0.0057806317,0.58885664,0.0003854036331176758,7,896,60.819099475003895,3584
nan,nan,61,0.00054609356,0.0024414062,6.143846,-0.011169612,0.08391459,0.0023763179779052734,8,1024,69.13267387200904,4096
nan,nan,58,0.0009593626,0.028808594,6.137975,-0.009591749,5.068193,0.0003324747085571289,9,1152,77.93959164401167,4608
nan,nan,58,0.0009938123,0.022949219,6.129252,-0.011782881,3.2121158,7.277727127075195e-05,10,1280,86.71103711100295,5120
nan,nan,59,0.0011616916,0.052246094,6.1220737,-0.013235672,3.9435992,-0.0015821456909179688,11,1408,95.3049257780076,5632
nan,nan,56,0.0016117429,0.09716797,6.1055703,-0.014627211,5.9799404,-0.0034830570220947266,12,1536,104.44585033300973,6144
1564.0,241394.0,58,0.00082882657,0.03173828,6.1069584,-0.012037458,4.383343,-0.004458427429199219,13,1664,113.15664972200466,6656
1564.0,241394.0,57,0.0018841043,0.11621094,6.0947247,-0.017308608,7.20945,-0.0008749961853027344,14,1792,122.00696132000303,7168
1564.0,241394.0,58,0.0013246804,0.063964844,6.0843086,-0.012428233,5.174441,-0.005003690719604492,15,1920,130.7113253710122,7680
1564.0,241394.0,63,0.0012154715,0.04736328,6.0641823,-0.012917479,2.5346742,-0.005667924880981445,16,2048,138.83021108200774,8192
1564.0,241394.0,60,0.0024095094,0.15576172,6.03314,-0.015095513,7.107493,0.004814624786376953,17,2176,147.2631743439997,8704
1887.5,243571.5,57,0.0017085171,0.10253906,6.039145,-0.011554075,5.185518,-0.004900217056274414,18,2304,156.1496367050131,9216
1887.5,243571.5,59,0.00050902274,0.0078125,6.0317593,-0.005257913,4.993965,-0.006474018096923828,19,2432,164.73410727501323,9728
1887.5,243571.5,58,0.00071369426,0.026367188,6.040151,-0.010532504,9.729242,-0.003198981285095215,20,2560,173.47645981000096,10240
2137.0,246151.66666666666,55,0.0008086193,0.030273438,6.032947,-0.008473895,3.989623,-0.006018877029418945,21,2688,182.73110088601243,10752
2137.0,246151.66666666666,59,0.0027034078,0.17675781,6.0021486,-0.021873208,3.6354601,-0.0028824806213378906,22,2816,191.40312635900045,11264
2328.5,244975.5,59,0.0029305334,0.16796875,5.9800363,-0.018856693,12.192749,0.0023003220558166504,23,2944,199.94901704801305,11776
2157.0,240963.4,58,0.00071787706,0.020019531,5.965619,-0.006782489,8.366928,0.002823054790496826,24,3072,208.73081230300886,12288
2157.0,240963.4,61,0.00057032745,0.0126953125,5.961024,-0.006669559,3.846121,0.008680105209350586,25,3200,217.0772916390124,12800
2157.0,240963.4,58,0.0012951351,0.06933594,5.9550653,-0.013697587,7.7794294,-0.005004525184631348,26,3328,225.81435465801042,13312
2157.0,240963.4,61,0.0015821891,0.083496094,5.9189496,-0.013481984,3.8266246,-0.0076825618743896484,27,3456,234.1849284290074,13824
2157.0,240963.4,58,0.0011797561,0.0546875,5.8873796,-0.01292922,6.241338,-0.013267278671264648,28,3584,242.93674591901072,14336
1963.8333333333333,239009.16666666666,55,0.0026965947,0.18457031,5.8870506,-0.013477885,11.115527,-0.010098695755004883,29,3712,252.1945584900095,14848
1903.7142857142858,243194.14285714287,59,0.0015989719,0.083984375,5.89026,-0.010224303,3.563054,0.0013782382011413574,30,3840,260.7725344660139,15360
1903.7142857142858,243194.14285714287,58,0.0018244301,0.09375,5.846838,-0.011588151,4.6822686,-0.0038434267044067383,31,3968,269.59541873499984,15872
1903.7142857142858,243194.14285714287,58,0.0018293129,0.114746094,5.8356495,-0.014400089,8.288053,-0.004741668701171875,32,4096,278.402353788013,16384
1903.7142857142858,243194.14285714287,61,0.0035181881,0.19335938,5.8560934,-0.020842686,12.259199,-0.010004281997680664,33,4224,286.7561488830106,16896
1903.7142857142858,243194.14285714287,59,0.002170162,0.13964844,5.8477907,-0.008365751,7.217752,-0.008634328842163086,34,4352,295.3297757560067,17408
1836.375,241467.25,57,0.0012667374,0.0546875,5.8321466,-0.010417777,3.0633028,0.0002822279930114746,35,4480,304.1802441050095,17920
1836.375,241467.25,55,0.0045740893,0.23388672,5.771123,-0.021510351,7.2495327,-3.2782554626464844e-05,36,4608,313.4625362420047,18432
1836.375,241467.25,61,0.0031298753,0.18798828,5.7206087,-0.014548185,6.7662354,-0.0003752708435058594,37,4736,321.81459236900264,18944
1844.6666666666667,244039.77777777778,57,0.0032343008,0.20019531,5.700317,-0.01230977,11.383925,-0.008235931396484375,38,4864,330.70480281100026,19456
1844.6666666666667,244039.77777777778,57,0.0031467027,0.17822266,5.713979,-0.018456511,8.457915,-0.008173346519470215,39,4992,339.67850957300107,19968
1844.6666666666667,244039.77777777778,55,0.0034813355,0.19042969,5.7022567,-0.013205224,15.297012,-0.01837170124053955,40,5120,348.864350311007,20480
1844.6666666666667,244039.77777777778,56,0.003335446,0.2163086,5.6698527,-0.013459319,9.87382,-0.018988370895385742,41,5248,357.8622097460029,20992
1844.6666666666667,244039.77777777778,59,0.0036557778,0.2133789,5.635273,-0.011338482,5.068847,-0.019540786743164062,42,5376,366.51262352400227,21504
1825.5,260726.8,55,0.0014180427,0.0625,5.6835485,-0.01262104,9.466036,-0.007139682769775391,43,5504,375.71811737700773,22016
1834.0,261332.54545454544,55,0.0035885358,0.23925781,5.6340733,-0.017112643,11.272797,-0.006144404411315918,44,5632,384.9095549620106,22528
1834.0,261332.54545454544,57,0.0035560029,0.23291016,5.6066704,-0.017696008,14.735669,-0.0096358060836792,45,5760,393.79434172699985,23040
1796.4166666666667,271438.75,57,0.003877148,0.22070312,5.5755777,-0.02292643,16.273499,0.003644406795501709,46,5888,402.7097833430016,23552
1796.4166666666667,271438.75,55,0.00330971,0.171875,5.5613647,-0.013640273,18.053123,-0.014525651931762695,47,6016,411.9466469020117,24064
1756.076923076923,281089.07692307694,57,0.0035711613,0.20117188,5.546065,-0.010441851,10.47735,-0.0025491714477539062,48,6144,420.9056473640085,24576
1756.076923076923,281089.07692307694,55,0.0036290737,0.21582031,5.5052643,-0.016738469,18.631893,-0.01602935791015625,49,6272,430.08224923501257,25088
1756.076923076923,281089.07692307694,52,0.0061618085,0.33642578,5.4588823,-0.02033336,9.416275,-0.013165473937988281,50,6400,439.8289869200089,25600
1708.9285714285713,285224.9285714286,55,0.00097607693,0.04296875,5.4606047,-0.007790207,16.953394,-0.0068062543869018555,51,6528,449.08698520400503,26112
1708.9285714285713,285224.9285714286,55,0.0036630367,0.18896484,5.4610233,-0.015340516,16.908003,-0.009412646293640137,52,6656,458.23880287000793,26624
1660.0,282518.6666666667,55,0.0016795517,0.09033203,5.4611225,-0.006626846,11.6730385,-0.0068863630294799805,53,6784,467.3894910190138,27136
1590.4117647058824,286996.64705882355,56,0.0004780008,0.01171875,5.4658594,-0.007514676,14.823005,-0.0009151697158813477,54,6912,476.51202765101334,27648
1590.4117647058824,286996.64705882355,56,0.0054078163,0.2602539,5.446451,-0.021700468,10.90842,-0.01079869270324707,55,7040,485.625226233009,28160
1590.4117647058824,286996.64705882355,56,0.0039943536,0.24267578,5.4534707,-0.013745514,15.416785,-0.0076122283935546875,56,7168,494.6541459810105,28672
1590.4117647058824,286996.64705882355,53,0.0057732635,0.26464844,5.4590516,-0.014359875,18.28998,-0.003184080123901367,57,7296,504.2327192930097,29184
1590.4117647058824,286996.64705882355,49,0.002210957,0.12841797,5.497253,-0.011336064,14.791189,-0.005464434623718262,58,7424,514.5654294340056,29696
1590.4117647058824,286996.64705882355,36,0.0021087078,0.111328125,5.4600053,-0.014386095,14.304116,-0.009273171424865723,59,7552,528.7354929710127,30208
1590.4117647058824,286996.64705882355,56,0.002383378,0.14550781,5.4484577,-0.012410661,13.656605,-0.007106184959411621,60,7680,537.7916969190119,30720
1550.388888888889,284789.72222222225,54,0.0013873602,0.067871094,5.451413,-0.010328487,16.031292,-0.004455447196960449,61,7808,547.1748125300073,31232
1522.3684210526317,283087.15789473685,56,0.00096858316,0.053222656,5.4823775,-0.0094367275,13.979089,-0.0033478736877441406,62,7936,556.1874034870125,31744
1508.35,289000.3,54,0.0019361175,0.09326172,5.47978,-0.014064527,10.046004,-0.001297593116760254,63,8064,565.5398839720001,32256
1512.3809523809523,300265.4285714286,54,0.0016174347,0.08300781,5.4716206,-0.01450569,14.2558155,-0.00047194957733154297,64,8192,574.9459345110081,32768
1512.3809523809523,300265.4285714286,54,0.0017166991,0.091796875,5.477032,-0.012941252,15.189832,-0.002888321876525879,65,8320,584.4101391650038,33280
1512.3809523809523,300265.4285714286,54,0.0028866827,0.1821289,5.459365,-0.014227305,15.533291,-0.006148338317871094,66,8448,593.7444190130045,33792
1512.3809523809523,300265.4285714286,57,0.004889692,0.24365234,5.4026456,-0.018345341,15.631686,-0.0009351968765258789,67,8576,602.5898643410037,34304
1512.3809523809523,300265.4285714286,56,0.0033458471,0.15185547,5.373738,-0.01155523,20.495106,-0.0006787776947021484,68,8704,611.7112897000043,34816
1512.3809523809523,300265.4285714286,56,0.0072483076,0.31835938,5.321147,-0.022249883,15.188919,0.0013887882232666016,69,8832,620.8329794580059,35328
1481.409090909091,297088.4090909091,54,0.0030089852,0.18554688,5.327018,-0.007932045,11.838434,0.0012097954750061035,70,8960,630.256883938011,35840
1457.625,304151.6666666667,56,0.00090715324,0.033203125,5.286682,-0.0064037847,8.396851,-0.001626729965209961,71,9088,639.3778900360048,36352
1445.12,309977.8,55,0.0012617116,0.057617188,5.273158,-0.0119972555,16.409554,0.0006270408630371094,72,9216,648.6730198240111,36864
1445.12,309977.8,54,0.003056341,0.14111328,5.2890635,-0.011154669,13.824938,-0.0012257099151611328,73,9344,658.0172120990028,37376
