eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,85,5.953538e-07,0.0,6.148468,-0.0004978184,0.038988993,0.00026607513427734375,1,128,5.9594911480007795,512
nan,nan,97,4.1574253e-06,0.0,6.1484604,-0.0009954765,3.525314,-0.0001556873321533203,2,256,11.201877698000317,1024
nan,nan,101,1.8257868e-05,0.0,6.1484137,-0.00073077134,13.184176,0.0007547140121459961,3,384,16.244804714000566,1536
nan,nan,86,9.497939e-05,0.0,6.14813,-0.004118382,5.5037417,-0.003298044204711914,4,512,22.140125961000194,2048
nan,nan,101,0.000171194,0.0,6.1473403,-0.0036802248,4.348412,0.0017721056938171387,5,640,27.18061096800011,2560
nan,nan,103,0.000163963,0.0,6.1463475,-0.004573751,3.5379226,-0.0020002126693725586,6,768,32.11647313499998,3072
nan,nan,87,0.00023448886,0.0,6.144627,-0.0053195497,6.2441993,-0.0015301704406738281,7,896,37.95765487100016,3584
nan,nan,88,0.00034904532,0.001953125,6.1412973,-0.0059478343,4.591601,-0.005463004112243652,8,1024,43.77143295300084,4096
nan,nan,90,0.00032942026,0.0024414062,6.1384544,-0.006481234,7.183666,-0.006028413772583008,9,1152,49.43951302300047,4608
nan,nan,87,0.00032423003,0.0009765625,6.1359544,-0.004753245,2.1049573,-0.0023055076599121094,10,1280,55.286179601000185,5120
1344.0,243770.0,85,0.00028229022,0.0024414062,6.1323996,-0.0050115883,4.084288,-0.0025522708892822266,11,1408,61.302005152000675,5632
1448.0,253583.33333333334,87,0.00047566902,0.009765625,6.1268578,-0.009901002,3.5152462,-0.005618691444396973,12,1536,67.1458090820006,6144
1448.0,253583.33333333334,88,0.000493341,0.013183594,6.1205506,-0.00893943,1.1720978,-0.005185246467590332,13,1664,72.92873087500084,6656
1448.0,253583.33333333334,87,0.00061167055,0.020507812,6.111589,-0.011615787,5.2025366,-0.007837295532226562,14,1792,78.8054345090004,7168
1448.0,253583.33333333334,85,0.0012578918,0.07373047,6.108288,-0.0149349095,8.572444,0.0011764764785766602,15,1920,84.80157874500037,7680
1448.0,253583.33333333334,74,0.0022778062,0.14550781,6.092644,-0.01977836,7.5511327,-0.006738543510437012,16,2048,91.63368389900006,8192
1448.0,253583.33333333334,83,0.0018847089,0.103027344,6.068924,-0.018859642,6.69394,-0.014600038528442383,17,2176,97.73863183900085,8704
1448.0,253583.33333333334,86,0.0026093486,0.16503906,6.0583477,-0.01950272,8.87112,0.007416367530822754,18,2304,103.6858053750002,9216
1448.0,253583.33333333334,85,0.00094326586,0.038085938,6.0429115,-0.007854291,3.9060457,-0.014120340347290039,19,2432,109.66965725099999,9728
1698.0,249972.5,87,0.000524717,0.018554688,6.038142,-0.009010782,4.902069,-0.007284760475158691,20,2560,115.50546401400061,10240
1607.0,249169.0,83,0.00044927743,0.0053710938,6.021556,-0.0049447194,5.20513,-0.01055920124053955,21,2688,121.65417351400083,10752
1607.0,249169.0,80,0.00036545427,0.0068359375,6.0162683,-0.0061757793,2.599625,-0.005030512809753418,22,2816,128.01838114400016,11264
1568.0,250107.5,85,0.0003772152,0.0014648438,6.0079966,-0.006556237,5.331558,-0.007542967796325684,23,2944,134.02384636900024,11776
1565.857142857143,251060.7142857143,90,0.0004913754,0.005859375,5.9887657,-0.006072812,1.9916177,-0.0024324655532836914,24,3072,139.6532993740002,12288
1565.857142857143,251060.7142857143,88,0.0003484451,0.0068359375,5.97966,-0.0052582435,4.3943224,-0.0004413127899169922,25,3200,145.46111806800036,12800
1565.857142857143,251060.7142857143,89,0.00025900407,0.001953125,5.966055,-0.007613751,0.90181035,-0.009037494659423828,26,3328,151.16447355900073,13312
1565.857142857143,251060.7142857143,75,0.0007316394,0.024902344,5.9540734,-0.01169736,10.215791,-0.0007990598678588867,27,3456,157.9372704260004,13824
1565.857142857143,251060.7142857143,85,0.0003412158,0.0034179688,5.9406147,-0.005164945,4.290619,-0.006680846214294434,28,3584,163.95654874000047,14336
1519.875,249740.0,86,0.00058889395,0.012207031,5.938432,-0.0083950255,6.634729,-0.009119033813476562,29,3712,169.87451901900022,14848
1519.875,249740.0,84,0.0006509515,0.0234375,5.933905,-0.009550714,11.640984,-0.007178902626037598,30,3840,175.93617112300035,15360
1519.875,249740.0,87,0.0004703818,0.0126953125,5.93419,-0.004546161,4.7418103,-0.0060422420501708984,31,3968,181.81900396900073,15872
1519.875,249740.0,84,0.0009405115,0.0390625,5.9253154,-0.011959612,5.4533386,-0.006381630897521973,32,4096,187.90338335100023,16384
1519.875,249740.0,77,0.0014020889,0.07128906,5.9098125,-0.012774253,6.9480586,-0.003945827484130859,33,4224,194.54857161400014,16896
1507.111111111111,249998.88888888888,82,0.0019676764,0.109375,5.8917427,-0.006438264,7.815245,-0.004163622856140137,34,4352,200.7861945300001,17408
1494.7,248240.5,85,0.0029373537,0.16455078,5.861794,-0.015067208,8.647284,-0.005610466003417969,35,4480,206.78618853900025,17920
1438.8181818181818,248119.0909090909,84,0.002361486,0.1328125,5.825145,-0.010544069,9.143796,-0.0036312341690063477,36,4608,212.87840407800013,18432
1494.0,246568.33333333334,85,0.0017503521,0.103515625,5.793109,-0.0159821,5.722692,-0.006478548049926758,37,4736,218.8340239270001,18944
1494.0,246568.33333333334,74,0.0008008705,0.034179688,5.786718,-0.008769018,5.4297557,-0.0048830509185791016,38,4864,225.7418151920001,19456
1494.0,246568.33333333334,83,0.0018733786,0.103515625,5.78186,-0.014987377,6.9474573,-0.0014678239822387695,39,4992,231.90664831499998,19968
1494.0,246568.33333333334,83,0.0047020097,0.21826172,5.749129,-0.016844157,5.836877,-2.086162567138672e-05,40,5120,238.00778907300082,20480
1494.0,246568.33333333334,84,0.0042982707,0.24804688,5.7286906,-0.020356104,12.126596,5.799531936645508e-05,41,5248,244.07513898800062,20992
