# {"t_start": 1702791839.4468334, "env_id": null} 
r,l,t
769755.0,7874,430.753673
698585.0,3848,623.944553
694990.0,3958,792.474147
665450.0,3812,962.39154
680740.0,2956,1083.323229
666190.0,4068,1245.968837
677170.0,4381,1442.751178
698920.0,4633,1652.874414
678535.0,3366,1822.140412
832390.0,5243,2161.155343
670115.0,3415,2359.674823
672400.0,3513,2574.383212
748625.0,3913,2797.294088
773145.0,4789,3052.346825
689065.0,3466,3228.44161
657525.0,3179,3418.623957
680925.0,4378,3692.967723
679045.0,3820,3928.32712
779150.0,3805,4164.31484
692075.0,3872,4399.676124
681055.0,3207,4596.27597
665950.0,2781,4734.950121
703270.0,2843,4871.754471
940080.0,3904,5065.999156
769935.0,3437,5233.635157
718800.0,2939,5376.955321
781070.0,2668,5506.313158
772220.0,3036,5653.65663
824015.0,3602,5829.182718
765515.0,2943,5975.263953
810315.0,2764,6110.181227
731250.0,2943,6254.790108
840590.0,2646,6385.501924
788810.0,3082,6536.522052
745730.0,2687,6668.811091
821920.0,2498,6791.082615
909330.0,3115,6946.467206
765200.0,2435,7065.413659
804095.0,2525,7184.667838
887910.0,2421,7305.230114
767440.0,2640,7433.301895
751985.0,3041,7580.660522
790430.0,3092,7728.881516
779620.0,2814,7864.797014
754450.0,2663,7996.133967
818450.0,2365,8108.597278
890490.0,3064,8256.34665
817055.0,2277,8365.49579
734565.0,2887,8503.856444
797250.0,2850,8644.183056
878620.0,2791,8776.148083
774660.0,2368,8892.010051
851185.0,2344,9005.234487
756090.0,2448,9123.155845
819040.0,3007,9268.337077
776400.0,3243,9421.866046
742785.0,2259,9531.022321
845780.0,2330,9642.640079
861350.0,2324,9755.330385
753295.0,2319,9867.540005
818580.0,2347,9983.33462
796745.0,2135,10084.832695
819730.0,2825,10221.242812
759695.0,2415,10339.057633
868590.0,2978,10480.629893
826650.0,2433,10598.547617
811490.0,2664,10727.055634
817645.0,2460,10847.690631
859590.0,2722,10979.036621
777815.0,2776,11110.232402
741200.0,2782,11245.03258
768780.0,2504,11367.092825
754700.0,2168,11472.028236
766455.0,2367,11584.36142
804710.0,2415,11702.041605
830525.0,2600,11824.952954
809800.0,2716,11957.577215
771685.0,2820,12093.161371
795365.0,3076,12241.726602
813195.0,2411,12358.016713
773995.0,2358,12470.347451
800295.0,2639,12665.609605
888235.0,2390,12748.80516
728365.0,2544,12836.784645
759240.0,2858,12934.365615
746165.0,2253,13012.32269
762405.0,2607,13102.627341
844870.0,2679,13195.271277
737845.0,2797,13293.355598
800680.0,2796,13389.971249
835520.0,2426,13474.3459
828395.0,2337,13555.819447
781035.0,2479,13641.807383
813485.0,2037,13712.522036
813050.0,2435,13796.359608
784755.0,2713,13890.869793
868740.0,2808,13989.451358
808870.0,3051,14094.854145
817990.0,2662,14187.076446
811375.0,2737,14281.887944
764585.0,3213,14393.335817
784430.0,2094,14465.834505
737545.0,2798,14562.401978
752345.0,2365,14644.452807
742840.0,2819,14741.880503
825905.0,2324,14822.318173
823850.0,2135,14896.549743
807155.0,2090,14969.358341
805050.0,2402,15053.265322
797885.0,2306,15132.942465
815090.0,2660,15225.688229
754375.0,2285,15305.561265
865885.0,2580,15394.747862
780505.0,2480,15481.519644
773985.0,2749,15576.236224
787675.0,2362,15657.635203
759295.0,2924,15758.678022
805635.0,2903,15858.963584
765615.0,2561,15947.539706
752725.0,2953,16050.364133
772375.0,2367,16135.256444
835070.0,2134,16211.85488
755050.0,2291,16291.922622
816385.0,2361,16375.287972
841470.0,2450,16460.203869
777250.0,3092,16567.78724
895375.0,2246,16646.127265
817615.0,2799,16743.149142
796830.0,2868,16843.081374
791465.0,2396,16926.968733
779560.0,3749,17055.791237
741030.0,2320,17136.400661
829095.0,2260,17214.561921
786180.0,3554,17337.170246
762885.0,2308,17418.028638
778010.0,2155,17493.35562
872430.0,2488,17580.716425
804935.0,2301,17661.002527
785170.0,2925,17762.567697
780910.0,2460,17847.467534
768720.0,2114,17921.253118
746360.0,2384,18004.39432
757750.0,2367,18086.695061
761300.0,2757,18182.102126
824825.0,2432,18266.448198
869430.0,2309,18346.797205
746610.0,2061,18418.878008
751540.0,2199,18494.769486
922140.0,3554,18616.56722
771170.0,2795,18713.865719
857575.0,2851,18812.89853
765795.0,2343,18894.669513
752755.0,3018,18999.43784
866705.0,2364,19081.907895
779990.0,2257,19160.967529
759970.0,2514,19248.116947
763510.0,2169,19323.555701
808130.0,2459,19408.193359
819320.0,2369,19490.033293
761830.0,2338,19571.805779
776595.0,2171,19647.520001
721070.0,2355,19729.407867
758160.0,2799,19825.849985
788485.0,2653,19918.681769
802200.0,2773,20014.198097
826810.0,2835,20111.981546
829695.0,3436,20229.906919
776085.0,2007,20300.251266
818705.0,2431,20384.426374
774860.0,2746,20480.058807
778505.0,2581,20569.852855
844195.0,2289,20649.585274
772000.0,2305,20730.108758
809815.0,3226,20841.32091
767340.0,2446,20926.407309
744480.0,2382,21009.168081
840325.0,2305,21088.990153
746290.0,3000,21192.198879
908805.0,2297,21273.031543
824785.0,2603,21363.997188
804445.0,2260,21443.072734
818215.0,2277,21522.487764
755075.0,2753,21618.311475
741390.0,2324,21697.641962
825080.0,2669,21788.840787
862130.0,2301,21867.463574
767925.0,2835,21964.767714
792825.0,2741,22058.077358
812605.0,2782,22153.865584
825415.0,2549,22241.489908
799540.0,2625,22331.65754
856260.0,2347,22413.334034
877545.0,2346,22494.333241
846135.0,3468,22612.76954
829045.0,3246,22724.112204
827445.0,2180,22799.606
775195.0,2478,22884.91316
809370.0,2557,22972.629731
763025.0,2715,23066.57094
768265.0,2187,23141.918142
763285.0,2530,23228.220692
759165.0,2859,23327.325838
816650.0,2338,23407.232243
804945.0,2940,23507.788404
832670.0,2416,23590.826572
761985.0,2861,23689.226941
806540.0,2397,23771.773994
862045.0,2693,23864.235298
760210.0,2354,23945.541941
842505.0,2720,24038.078711
750965.0,2472,24123.161686
771425.0,2240,24199.625981
859715.0,2054,24270.848609
747210.0,2757,24365.665706
809390.0,1996,24434.23914
860170.0,2279,24511.905799
779470.0,2195,24587.348964
814050.0,2734,24681.066282
750855.0,2420,24763.799248
794835.0,2692,24856.422472
798005.0,2606,24945.706934
792740.0,2148,25019.557338
762120.0,2331,25100.391601
844710.0,3257,25211.820175
800055.0,2628,25301.036206
753495.0,2573,25390.16693
808845.0,2916,25488.316125
755425.0,2526,25575.313356
817285.0,2415,25658.158499
812395.0,2321,25737.73441
816695.0,2387,25820.104992
917595.0,2867,25918.352489
822965.0,2062,25989.673486
769185.0,2362,26070.385405
776050.0,2521,26156.726428
765155.0,2658,26247.594432
758685.0,2921,26348.120073
747070.0,2522,26435.551307
815080.0,2375,26517.505684
713815.0,2363,26599.162354
775665.0,2528,26685.896185
890350.0,2681,26778.722474
753315.0,2338,26858.913306
772550.0,2975,26962.304195
870865.0,2322,27042.18722
837625.0,2692,27135.072972
884510.0,2700,27227.243567
834410.0,2360,27308.404756
796770.0,2384,27390.736618
770060.0,2294,27469.895164
825180.0,2410,27552.364147
741370.0,2406,27634.779917
781545.0,2363,27716.375492
881770.0,2405,27799.131972
818800.0,2724,27893.072203
