eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
5095.833333333333,702081.6666666666,84,0.0011123128,0.052246094,5.0790224,-0.00945304,5.1202707,0.02045297622680664,77,9856,538.5201398529753,39424
5095.833333333333,702081.6666666666,86,0.0015087703,0.068359375,5.0768104,-0.010327468,4.9699974,0.03161764144897461,78,9984,544.4206302709936,39936
5095.833333333333,702081.6666666666,88,0.0013377047,0.06542969,5.0692706,-0.012124427,2.7193916,0.012810885906219482,79,10112,550.1980267439794,40448
5095.833333333333,702081.6666666666,86,0.0025440364,0.1538086,5.0834756,-0.012447666,8.4400215,0.035254478454589844,80,10240,556.0922551519761,40960
5095.833333333333,702081.6666666666,78,0.0013118369,0.072265625,5.1002355,-0.00948847,5.4973335,0.0025287270545959473,81,10368,562.574452396977,41472
5095.833333333333,702081.6666666666,86,0.0016548221,0.087890625,5.0712585,-0.010889615,6.305262,0.04174154996871948,82,10496,568.460697492992,41984
4990.714285714285,698931.4285714285,89,0.0012699188,0.052734375,5.055649,-0.011581071,4.39266,0.03339332342147827,83,10624,574.1859160779859,42496
4990.714285714285,698931.4285714285,94,0.0009001865,0.032226562,5.049005,-0.0062715323,3.9692338,0.02911376953125,84,10752,579.6188229539839,43008
4990.714285714285,698931.4285714285,94,0.0014926523,0.08154297,5.0563226,-0.013160696,3.4993734,0.029452264308929443,85,10880,585.0478444939945,43520
4990.714285714285,698931.4285714285,95,0.0012066145,0.06347656,5.047598,-0.0118827745,4.806078,0.029663026332855225,86,11008,590.3931627999991,44032
4990.714285714285,698931.4285714285,98,0.0011061995,0.056640625,5.0485425,-0.009679323,4.929302,0.04833388328552246,87,11136,595.6089741250034,44544
4990.714285714285,698931.4285714285,94,0.00082662125,0.029785156,5.049697,-0.008663131,5.072461,0.002254188060760498,88,11264,601.0129669540038,45056
4990.714285714285,698931.4285714285,91,0.0011349381,0.052246094,5.0676093,-0.0111119915,3.7693818,0.033026695251464844,89,11392,606.6097374910023,45568
4990.714285714285,698931.4285714285,87,0.0011084061,0.056152344,5.0713353,-0.008946407,3.2895427,0.026487886905670166,90,11520,612.4397875759751,46080
4990.714285714285,698931.4285714285,79,0.004265813,0.2290039,5.0829344,-0.016430588,1.8810182,-0.0736931562423706,91,11648,618.8464767789992,46592
4847.875,698888.125,91,0.0019832815,0.10058594,5.073347,-0.009565402,4.788212,0.034786880016326904,92,11776,624.4635287739802,47104
4784.555555555556,693680.5555555555,86,0.0011530183,0.057128906,5.0915995,-0.012086856,4.128668,0.033287882804870605,93,11904,630.394159849995,47616
4784.555555555556,693680.5555555555,96,0.0063146316,0.24023438,5.1421976,-0.012198715,2.004864,0.003981590270996094,94,12032,635.7077633070003,48128
4784.555555555556,693680.5555555555,97,0.0044814544,0.25878906,5.0635204,-0.008016284,3.7494485,0.01637864112854004,95,12160,640.9745373679907,48640
4784.555555555556,693680.5555555555,92,0.0011845205,0.063964844,5.0517898,-0.010767354,6.11703,0.009456932544708252,96,12288,646.4824606289912,49152
4784.555555555556,693680.5555555555,83,0.001321666,0.071777344,5.03974,-0.010271793,3.720845,0.0315396785736084,97,12416,652.5979431199958,49664
4784.555555555556,693680.5555555555,79,0.0012994757,0.061523438,5.024324,-0.010431902,3.983073,0.034983932971954346,98,12544,659.0087437299953,50176
4784.555555555556,693680.5555555555,95,0.0014739251,0.07714844,4.9889774,-0.009999476,5.332943,0.038691937923431396,99,12672,664.3426950449939,50688
4784.555555555556,693680.5555555555,97,0.0013187558,0.07128906,5.0038114,-0.011866638,4.627084,0.06826478242874146,100,12800,669.5775397729885,51200
4784.555555555556,693680.5555555555,89,0.0036684163,0.1538086,4.9733086,-0.011484895,5.987643,0.054679274559020996,101,12928,675.320817586995,51712
4784.555555555556,693680.5555555555,97,0.00464073,0.25195312,4.9730496,-0.014557728,1.7758272,0.037159740924835205,102,13056,680.5657442099764,52224
4784.555555555556,693680.5555555555,101,0.0041994294,0.19580078,4.830297,-0.005573515,4.612556,0.03353989124298096,103,13184,685.6233822240029,52736
4784.555555555556,693680.5555555555,99,0.0021248015,0.12890625,4.763228,-0.014373136,6.76746,0.048648834228515625,104,13312,690.7862409859954,53248
4784.555555555556,693680.5555555555,100,0.0018324824,0.099609375,4.751602,-0.008700294,5.0973487,0.07578682899475098,105,13440,695.9028221689805,53760
4784.555555555556,693680.5555555555,97,0.0014122084,0.056640625,4.802807,-0.009915854,4.4335775,0.10689002275466919,106,13568,701.1765083799837,54272
4778.6,697590.5,97,0.0014757668,0.078125,4.7933445,-0.009952508,8.674273,-0.023737668991088867,107,13696,706.421503577003,54784
4778.6,697590.5,96,0.0009770337,0.040039062,4.8500185,-0.009257742,4.860404,0.05608522891998291,108,13824,711.7217976779793,55296
4778.6,697590.5,99,0.0013338437,0.07080078,4.8423533,-0.009137435,3.904267,-0.07809329032897949,109,13952,716.8723517489852,55808
4778.6,697590.5,97,0.0029659201,0.1616211,4.806415,-0.009043657,2.8517263,0.03614234924316406,110,14080,722.1053544269816,56320
